,N o,T a n g g a l,H a r i,K e t e r a n g a n
0,1,1 Januari,Jumat,Tahun Baru Masehi
1,2,16 Maret,Rabu,Isra' Mi'raj Nabi Muhammad SAW (27 Rajab 1408H)
2,3,19 Maret,Sabtu,Hari Raya Nyepi (Tahun Baru Saka 1910)
3,4,1 April,Jumat,Wafat Yesus Kristus
4,5,12 Mei,Kamis,Kenaikan Yesus Kristus
5,6,17-18 Mei,Selasa-Rabu,Idul Fitri (1-2 Syawal 1408H)
6,7,31 Mei,Selasa,Hari Raya Waisak 2532
7,8,24 Juli,Minggu,Idul Adha (10 Dzulhijjah 1408H)
8,9,14 Agustus,Minggu,Tahun Baru Islam (1 Muharram 1409H)
9,10,17 Agustus,Rabu,Hari Ulang Tahun Proklamasi Kemerdekaan Republik Indonesia ke-43
10,11,23 Oktober,Minggu,Maulid Nabi Muhammad SAW (12 Rabiul Awal 1409H)
11,12,25 Desember,Minggu,Hari Raya Natal
