,K o o r d i n a t,"N e g a r a ,   w i l a y a h ,   a t a u   l a u t",K e t e r a n g a n
0,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}9°0′S 0°0′E﻿ / ﻿9.000°S 0.000°E",Samudra Atlantik,
1,9°0′S 13°1′E﻿ / ﻿9.000°S 13.017°E,Angola,
2,9°0′S 21°51′E﻿ / ﻿9.000°S 21.850°E,Republik Demokratik Kongo,
3,9°0′S 28°27′E﻿ / ﻿9.000°S 28.450°E,Danau Mweru,
4,9°0′S 29°1′E﻿ / ﻿9.000°S 29.017°E,Zambia,
5,9°0′S 31°56′E﻿ / ﻿9.000°S 31.933°E,Tanzania,Pulau Kilwa Kisiwani
6,9°0′S 39°32′E﻿ / ﻿9.000°S 39.533°E,Samudra Hindia,"Melewati utara Atol Providence, Seychelles Melewati selatan Pulau Jawa, Pulau Bali, Pulau Nusa Penida dan Pulau Lombok, Indonesia"
7,9°0′S 116°44′E﻿ / ﻿9.000°S 116.733°E,Indonesia,Pulau Sumbawa
8,9°0′S 117°32′E﻿ / ﻿9.000°S 117.533°E,Samudra Hindia,"Selat Sumba Laut Savu - Melewati selatan Pulau Flores, Indonesia"
9,9°0′S 124°48′E﻿ / ﻿9.000°S 124.800°E,Indonesia,Pulau Timor - sepanjang 16 km
10,9°0′S 124°56′E﻿ / ﻿9.000°S 124.933°E,Timor Leste,Pulau Timor - sepanjang 14 km
11,9°0′S 125°5′E﻿ / ﻿9.000°S 125.083°E,Indonesia,Pulau Timor - sepanjang 6 km
12,9°0′S 125°8′E﻿ / ﻿9.000°S 125.133°E,Timor Leste,Pulau Timor
13,9°0′S 126°8′E﻿ / ﻿9.000°S 126.133°E,Laut Timor,
14,9°0′S 130°59′E﻿ / ﻿9.000°S 130.983°E,Laut Arafura,
15,9°0′S 140°50′E﻿ / ﻿9.000°S 140.833°E,Indonesia,Pulau Papua
16,9°0′S 141°1′E﻿ / ﻿9.000°S 141.017°E,Papua Nugini,Pulau Papua dan PulauParama
17,9°0′S 143°27′E﻿ / ﻿9.000°S 143.450°E,Laut Coral,Teluk Papua
18,9°0′S 146°36′E﻿ / ﻿9.000°S 146.600°E,Papua Nugini,Island of New Guinea
19,9°0′S 148°31′E﻿ / ﻿9.000°S 148.517°E,Laut Solomon,Teluk Oro
20,9°0′S 149°7′E﻿ / ﻿9.000°S 149.117°E,Papua Nugini,Pulau Papua
21,9°0′S 149°8′E﻿ / ﻿9.000°S 149.133°E,Laut Solomon,"Melewati di antara Kepuluan D'Entrecasteaux dan Kepuluan Trobriand, Papua Nugini"
22,9°0′S 152°23′E﻿ / ﻿9.000°S 152.383°E,Papua Nugini,Pulau Nusam and Pulau Woodlark
23,9°0′S 152°39′E﻿ / ﻿9.000°S 152.650°E,Laut Solomon,"Melewati selatan Pulau Tetepare, Pulau Vangunu dan Pulau Nggatokae, Kepulauan Solomon"
24,9°0′S 159°2′E﻿ / ﻿9.000°S 159.033°E,Kepulauan Solomon,Kepulaun Russell
25,9°0′S 159°16′E﻿ / ﻿9.000°S 159.267°E,New Georgia Sound,"Melewati utara Pulau Savo, Kepulauan Solomon"
26,9°0′S 160°3′E﻿ / ﻿9.000°S 160.050°E,Kepulauan Solomon,Kepulauan Nggela
27,9°0′S 160°13′E﻿ / ﻿9.000°S 160.217°E,Selat Indispensable,
28,9°0′S 160°46′E﻿ / ﻿9.000°S 160.767°E,Kepulauan Solomon,Pulau Malaita
29,9°0′S 161°8′E﻿ / ﻿9.000°S 161.133°E,Samudra Pasifik,"Melewati di antara Atol Funafuti dan Atol Nukulaelae, Tuvalu Melewati utara Atol Nukunonu atoll, Tokelau"
30,9°0′S 158°3′W﻿ / ﻿9.000°S 158.050°W,Kepulauan Cook,Pulau Penrhyn
31,9°0′S 157°56′W﻿ / ﻿9.000°S 157.933°W,Samudra Pasifik,"Melewati utara Nuku Hiva dan Ua Huka, Polinesia Prancis"
32,9°0′S 78°40′W﻿ / ﻿9.000°S 78.667°W,Peru,
33,9°0′S 72°57′W﻿ / ﻿9.000°S 72.950°W,Brasil,Acre Amazonas Rondônia - sepanjang 8 km Amazonas - sepanjang 20 km Rondônia Mato Grosso Pará Tocantins Maranhão Piauí Bahia Pernambuco Bahia Pernambuco - sepanjang 13 km Bahia - sepanjang 5 km Pernambuco Alagoas - sepanjang 20 km Pernambuco - sepanjang 8 km Alagoas - sepanjang 15 km Pernambuco Alagoas
34,9°0′S 35°12′W﻿ / ﻿9.000°S 35.200°W,Samudra Atlantik,
