,P e n g h a r g a a n,K a t e g o r i,N o m i n a t o r,H a s i l
0,Anugerah Musik Indonesia[28],Lagu Terbaik,"""Ada Apa dengan Cinta?""",Menang
1,Clear Top Ten Awards[29],Fabulous Album,OST Ada Apa dengan Cinta?,Menang
2,Clear Top Ten Awards[29],Coolest Song,"""Ada Apa dengan Cinta?""",Menang
3,Clear Top Ten Awards[29],Viewer Favorite Song,"""Ada Apa dengan Cinta?""",Menang
4,Festival Film Bandung,Film Terpuji,Ada Apa dengan Cinta?,Menang
5,Festival Film Bandung,Sutradara Terpuji,Rudi Soedjarwo,Menang
6,Festival Film Bandung,Editing Terpuji,Dewi S. Alibasah,Menang
7,Festival Film Bandung,Skenario Terpuji,Dewi S. Alibasah,Menang
8,Festival Film Bandung,Fotografi Terpuji,Roy Lolang,Menang
9,Festival Film Bandung,Musik Terpuji,"Anto Hoed, Melly Goeslaw",Menang
10,Festival Film Bandung,Tata Rias Terpuji,Lita Dwiyana,Menang
11,Festival Film Indonesia[30],Tata Musik Terbaik,"Anto Hoed, Melly Goeslaw",Menang
12,Festival Film Indonesia[30],Aktris Terbaik,Dian Sastrowardoyo,Menang
13,Festival Film Indonesia[30],Sutradara Terbaik,Rudi Soedjarwo,Menang
14,Festival Film Indonesia[30],Film Terbaik,Ada Apa dengan Cinta,Nominasi
15,Festival Film Indonesia[30],Aktor Terbaik,Nicholas Saputra,Nominasi
16,Festival Film Indonesia[30],Aktor Pendukung Terbaik,Mang Diman,Nominasi
17,Festival Film Indonesia[30],Aktris Pendukung Terbaik,Ladya Cheryl,Nominasi
18,Festival Film Indonesia[30],Penulis Skenario Terbaik,"Jujur Prananto, Prima Rusdi, Rako Prijanto, Mira Lesmana, Riri Riza",Nominasi
19,Festival Film Indonesia[30],Tata Sinematografi Terbaik,Roy Lolang,Nominasi
20,Festival Film Indonesia[30],Penyunting Terbaik,Dewi S Alibasah,Nominasi
21,Festival Film Indonesia[30],Tata Suara Terbaik,"Adi Molana, Satrio Budiono, Adityawan Susanto, Greg Fitzgerald",Nominasi
22,Festival Film Indonesia[30],Tata Artistik Terbaik,Adrianto Sinaga,Nominasi
