,d e s k r i p s i,k a r a k t e r,U n i c o d e,H T M L
0,tirusatas,◌́combining,U+0301,́
1,tirusatas,◌́combining,U+0341,́
2,tirusatas,◌´spacing,U+00B4,´´
3,tirusatas,◌ˊspacing,U+02CA,ˊ
4,tirusganda,◌̋combining,U+030B,̋
5,tirusganda,◌˝spacing,U+02DD,˝
6,tirusbawah,◌̗combining,U+0317,&#791
7,Penambahandiakritik,Latin,Latin,Latin
8,—,Áá,U+00C1U+00E1,Áá
9,—,Éé,U+00C9U+00E9,Éé
10,—,Íí,U+00CDU+00ED,Íí
11,—,Óó,U+00D3U+00F3,Óó
12,—,Úú,U+00DAU+00FA,Úú
13,—,Ýý,U+00DDU+00FD,Ýý
14,—,Ǽǽ,U+01FCU+01FD,Ǽǽ
15,—,Ǿǿ,U+01FEU+01FF,Ǿǿ
16,—,Ćć,U+0106U+0107,Ćć
17,—,Ǵǵ,U+01F4U+01F5,Ǵǵ
18,—,Ḱḱ,U+1E30U+1E31,Ḱḱ
19,—,Ĺĺ,U+0139U+013A,Ĺĺ
20,—,Ḿḿ,U+1E3EU+1E3F,Ḿḿ
21,—,Ńń,U+0143U+0144,Ńń
22,—,Ṕṕ,U+1E54U+1E55,Ṕṕ
23,—,Ŕŕ,U+0154U+0155,Ŕŕ
24,—,Śś,U+015AU+015B,Śś
25,—,Ẃẃ,U+1E82U+1E83,Ẃẃ
26,—,Źź,U+0179U+017A,Źź
27,tirusganda,Őő,U+0150U+0151,Őő
28,tirusganda,Űű,U+0170U+0171,Űű
29,dwititik,Ǘǘ,U+01D7U+01D8,Ǘǘ
30,dwititik,Ḯḯ,U+1E2EU+1E2F,Ḯḯ
31,cincin,Ǻǻ,U+01FAU+01FB,Ǻǻ
32,cedilla,Ḉḉ,U+1E08U+1E09,Ḉḉ
33,macron,Ḗḗ,U+1E16U+1E17,Ḗḗ
34,macron,Ṓṓ,U+1E52U+1E53,Ṓṓ
35,tanda gelombang,Ṍṍ,U+1E4CU+1E4D,Ṍṍ
36,tanda gelombang,Ṹṹ,U+1E78U+1E79,Ṹṹ
37,titik,Ṥṥ,U+1E64U+1E65,Ṥṥ
38,tanda-bunyi topi,Ấấ,U+1EA4U+1EA5,Ấấ
39,tanda-bunyi topi,Ếế,U+1EBEU+1EBF,Ếế
40,tanda-bunyi topi,Ốố,U+1ED0U+1ED1,Ốố
41,breve,Ắắ,U+1EAEU+1EAF,Ắắ
42,horn,Ớớ,U+1EDAU+1EDB,Ớớ
43,horn,Ứứ,U+1EE8U+1EE9,Ứứ
44,Yunani,Yunani,Yunani,Yunani
45,—,Άά,U+0386U+03AC,Άά
46,—,Έέ,U+0388U+03AD,Έέ
47,—,Ήή,U+0389U+03AE,Ήή
48,—,Ίί,U+038AU+03AF,Ίί
49,—,Όό,U+038CU+03CC,Όό
50,—,Ύύ,U+038EU+03CD,Ύύ
51,—,Ώώ,U+038FU+03CE,Ώώ
52,dwititik,—ΐ,—U+0390,—ΐ
53,dwititik,—ΰ,—U+03B0,—ΰ
54,Cyrillic,Cyrillic,Cyrillic,Cyrillic
55,—,Ӳӳ,U+04F2U+04F3,Ӳӳ
