,N o,K a b u p a t e n,D i s t r i k,I b u   k o t a
0,1,Berat,"Berat, Kuçovë, Skrapar",Berat
1,2,Dibër,"Bulqizë, Dibër, Mat",Peshkopi
2,3,Durrës,"Durrës, Krujë",Durrës
3,4,Elbasan,"Elbasan, Gramsh, Librazhd, Peqin",Elbasan
4,5,Fier,"Fier, Lushnjë, Mallakastër",Fier
5,6,Gjirokastër,"Gjirokastër, Përmet, Tepelenë",Gjirokastër
6,7,Korçë,"Devoll, Kolonjë, Korçë, Pogradec",Korçë
7,8,Kukës,"Has, Kukës, Tropojë",Kukës
8,9,Lezhë,"Kurbin, Lezhë, Mirditë",Lezhë
9,10,Shkodër,"Malësi e Madhe, Pukë, Shkodër",Shkodër
10,11,Tiranë,"Kavajë, Tiranë",Tiranë
11,12,Vlorë,"Delvinë, Sarandë, Vlorë",Vlorë
