,D a t a   i k l i m   A l g i e r s   ( B a n d a r   U d a r a   H o u a r i   B o u m e d i e n e ),D a t a   i k l i m   A l g i e r s   ( B a n d a r   U d a r a   H o u a r i   B o u m e d i e n e ),D a t a   i k l i m   A l g i e r s   ( B a n d a r   U d a r a   H o u a r i   B o u m e d i e n e ),D a t a   i k l i m   A l g i e r s   ( B a n d a r   U d a r a   H o u a r i   B o u m e d i e n e ),D a t a   i k l i m   A l g i e r s   ( B a n d a r   U d a r a   H o u a r i   B o u m e d i e n e ),D a t a   i k l i m   A l g i e r s   ( B a n d a r   U d a r a   H o u a r i   B o u m e d i e n e ),D a t a   i k l i m   A l g i e r s   ( B a n d a r   U d a r a   H o u a r i   B o u m e d i e n e ),D a t a   i k l i m   A l g i e r s   ( B a n d a r   U d a r a   H o u a r i   B o u m e d i e n e ),D a t a   i k l i m   A l g i e r s   ( B a n d a r   U d a r a   H o u a r i   B o u m e d i e n e ),D a t a   i k l i m   A l g i e r s   ( B a n d a r   U d a r a   H o u a r i   B o u m e d i e n e ),D a t a   i k l i m   A l g i e r s   ( B a n d a r   U d a r a   H o u a r i   B o u m e d i e n e ),D a t a   i k l i m   A l g i e r s   ( B a n d a r   U d a r a   H o u a r i   B o u m e d i e n e ),D a t a   i k l i m   A l g i e r s   ( B a n d a r   U d a r a   H o u a r i   B o u m e d i e n e ),D a t a   i k l i m   A l g i e r s   ( B a n d a r   U d a r a   H o u a r i   B o u m e d i e n e )
0,Rekor tertinggi °C (°F),27.6 (81.7),31.4 (88.5),36.3 (97.3),36.5 (97.7),41.1 (106),44.6 (112.3),45.2 (113.4),47.5 (117.5),44.4 (111.9),39.5 (103.1),34.4 (93.9),30.4 (86.7),47.5 (117.5)
1,Rata-rata tertinggi °C (°F),16.7 (62.1),17.4 (63.3),19.3 (66.7),20.9 (69.6),23.9 (75),28.2 (82.8),31.2 (88.2),32.2 (90),29.6 (85.3),25.9 (78.6),20.8 (69.4),17.9 (64.2),23.7 (74.7)
2,Rata-rata harian °C (°F),11.1 (52),11.7 (53.1),13.2 (55.8),14.9 (58.8),18.1 (64.6),22.2 (72),25.1 (77.2),26.0 (78.8),23.6 (74.5),20.1 (68.2),15.3 (59.5),12.6 (54.7),17.8 (64)
3,Rata-rata terendah °C (°F),5.5 (41.9),5.9 (42.6),7.1 (44.8),8.8 (47.8),12.3 (54.1),16.1 (61),18.9 (66),19.8 (67.6),17.6 (63.7),14.2 (57.6),9.8 (49.6),7.2 (45),11.9 (53.4)
4,Rekor terendah °C (°F),−3.3 (26.1),−1.9 (28.6),−1.0 (30.2),−0.8 (30.6),2.6 (36.7),5.5 (41.9),9.0 (48.2),9.5 (49.1),8.2 (46.8),4.1 (39.4),−0.1 (31.8),−2.3 (27.9),−3.3 (26.1)
5,Presipitasi mm (inci),81.4 (3.205),72.7 (2.862),55.0 (2.165),58.4 (2.299),41.9 (1.65),8.5 (0.335),4.5 (0.177),8.2 (0.323),28.3 (1.114),58.8 (2.315),89.6 (3.528),91.0 (3.583),598.3 (23.555)
6,Rata-rata hari hujan atau bersalju (≥ 0.1 mm),11.4,10.6,9.7,9.1,7.3,2.5,1.5,2.5,5.3,8.6,11.1,12.1,91.7
7,% kelembapan,71,66,65,62,66,66,67,65,68,66,68,68,67
8,Rata-rata sinar matahari bulanan,139.5,158.2,207.7,228.0,300.7,300.0,353.4,325.5,267.0,198.4,153.0,145.7,"2.777,1"
9,Rata-rata sinar matahari harian,4.5,5.6,6.7,7.6,9.7,10.0,11.4,10.5,8.9,6.4,5.1,4.7,7.6
