,0,1,2
0,Rumus kimia,Nama IUPAC,Nama umum
1,Alkohol monohidrat,Alkohol monohidrat,Alkohol monohidrat
2,CH3OH,Metanol,Alkohol kayu
3,C2H5OH,Etanol,Alkohol gandum
4,C3H7OH,Isopropil alkohol,Alkohol gosok
5,C5H11OH,Pentanol,Amil alkohol
6,C16H33OH,1-Heksadekanol,Setil alkohol
7,Alkohol polihidrat,Alkohol polihidrat,Alkohol polihidrat
8,C2H4(OH)2,"1,2-etadienol",Etilen glikol
9,C3H5(OH)3,"1,2,3-propatrienol",Gliserol
10,C4H6(OH)4,"1,2,3,4-butatetraenol",Eritritol
11,C5H7(OH)5,"1,2,3,4,5-pentapentanol",Xilitol
12,C6H8(OH)6,"1,2,3,4,5,6-heksaheksanol","Manitol, Sorbitol"
13,C7H9(OH)7,"1,2,3,4,5,6,7-heptaheptanol",Volemitol
14,Alkohol alifatik tidak jenuh,Alkohol alifatik tidak jenuh,Alkohol alifatik tidak jenuh
15,C3H5OH,Prop-2-ene-1-ol,Alil alkohol
16,C10H17OH,"3,7-Dimetilokta-2,6-dien-1-ol",Geraniol
17,C3H3OH,Prop-2-in-1-ol,Propargil alkohol
18,Alkohol alisiklik,Alkohol alisiklik,Alkohol alisiklik
19,C6H6(OH)6,"Sikloheksan-1,2,3,4,5,6-geksol",Inositol
20,C10H19OH,2 - (2-propil)-5-metil-sikloheksan-1-ol,Mentol
