,0,1,2,3,4,5,6,7,8,9
0,,Amenhotep IV,Akhenaten,,,,,,,
1,nama Horus,"Kanakht-qai-Shuti ""Strong Bull of the Double Plumes""","Meryaten ""Strong Bull, Beloved of Aten""",,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,nama Nebty,"Wer-nesut-em-Ipet-swt ""Raja Agung di Karnak""","Wer-nesut-em-Akhetaten ""Raja Agung di Akhet-Aten""",,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,nama Horus Emas,"Wetjes-khau-em-Iunu-Shemay ""Dimahkotai di Heliopolis Selatan"" (Thebes)","Wetjes-ren-en-Aten ""Pemuja nama Aten""",,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,Prenomen,"Neferkheperure-waenre ""Indahlah bentuk Re, satu-satunya Re yang unik""",Neferkheperure-waenre,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,Nomen,"Amenhotep Netjer-Heqa-Waset ""Amenhotep penguasa-dewa Thebes""","Akhenaten ""Efektif bagi Aten""",,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
