,N a m a   r e g i o n   d a n   t e r r i t o r a l   d e n g a n   b e n d e r a,L u a s ( k m ² ),P o p u l a s i ( p e r k i r a a n   1   J u l i   2 0 0 8 ),K e p a d a t a n   P e n d u d u k ( p e r   k m ² ),I b u   k o t a
0,Argentina,2.766.890,39.537.943,143,Buenos Aires
1,Bolivia,1.098.580,8.857.870,81,La Paz
2,Brasil,8.511.965,186.112.794,219,Brasília
3,Chili,756.950,16.800.000,211,"Santiago, Valparaíso [1]"
4,Kolombia,1.138.910,42.954.279,377,Bogotá
5,Ekuador,283.560,13.363.593,471,Quito
6,Kepulauan Falkland [2],12.173,2.967,024,Stanley
7,Guyana Prancis,91.000,195.506,21,Cayenne
8,Guyana,214.970,765.283,36,Georgetown
9,Paraguay,406.750,6.347.884,156,Asunción
10,Peru,1.285.220,27.925.628,217,Lima
11,Georgia Selatan dan Kepulauan Sandwich Selatan [3],3.093,—,—,Grytviken
12,Suriname,163.270,438.144,27,Paramaribo
13,Trinidad dan Tobago,1.339.000,261.0,27,Port of Spain
14,Uruguay,176.220,3.415.920,194,Montevideo
15,Venezuela,912.050,25.375.281,278,Caracas
16,Total,17.821.601,371.274.004,208,
