,T a h u n,J u d u l,D i k r e d i t k a n   s e b a g a i,K e t e r a n g a n
0,2002,Ca-bau-kan,Ya,
1,2002,Titik Hitam,Ya,
2,2002,Andai Ia Tahu,Ya,
3,2003,Biarkan Bintang Menari,Ya,
4,2003,Arisan!,Ya,Juga sebagai aktor
5,2004,30 Hari Mencari Cinta,Ya,
6,2004,Mengejar Matahari,Ya,
7,2005,Cinta Silver,Ya,
8,2005,Vina Bilang Cinta,Ya,
9,2005,Belahan Jiwa,Ya,
10,2006,9 Naga,Ya,
11,2006,Jatuh Cinta Lagi,Ya,
12,2006,Mendadak Dangdut,Ya,
13,2006,Koper,Ya,
14,2006,Kuntilanak,Ya,
15,2006,Pesan dari Surga,Ya,
16,2006,Pocong 2,Ya,
17,2007,Suster Ngesot,Ya,
18,2007,Mengejar Mas Mas,Ya,
19,2007,Merah Itu Cinta,Ya,
20,2007,Kangen,Ya,
21,2007,Lawang Sewu: Dendam Kuntilanak,Ya,
22,2007,Kuntilanak 2,Ya,
23,2007,Pocong 3,Ya,
24,2008,Kuntilanak 3,Ya,
25,2008,40 Hari Bangkitnya Pocong,Ya,
26,2008,Tali Pocong Perawan,Ya,
27,2008,"Ada Kamu, Aku Ada",Ya,
28,2008,Sumpah Pocong di Sekolah,Ya,
29,2008,Tiren (Mati Kemaren),Ya,
30,2008,Tri Mas Getir,Ya,
31,2008,Liar,Ya,
32,2008,"Oh, My God!",Ya,
33,2008,Sebelah Mata,Ya,
34,2008,Saus Kacang,Ya,
35,2009,Setan Budeg,Ya,
36,2009,Kalau Cinta Jangan Cengeng,Ya,
37,2009,Mati Suri,Ya,
38,2009,Benci Disko,Ya,
39,2009,Hantu Rumah Ampera,Ya,
40,2009,Air Terjun Pengantin,Ya,
41,2010,Toilet 105,Ya,
42,2010,Taring,Ya,
43,2012,Langit ke-7,Ya,
44,2015,Guru Bangsa: Tjokroaminoto,Ya,
45,2015,Wewe,Ya,
46,2016,Stay with Me,Ya,
47,2016,3 Srikandi,Ya,
48,2016,Algojo: Perang Santet,Ya,
49,2016,Ibu Maafkan Aku,Ya,
50,2017,Kartini,Ya,
51,2017,Critical Eleven,Ya,
52,2017,Gerbang Neraka,Ya,
53,2017,Naura & Genk Juara,Ya,
54,2018,22 Menit,Ya,
55,2018,13: The Haunted,Ya,
56,2018,Rompis,Ya,
57,2019,Matt & Mou,Ya,
58,2019,The Sacred Riana: Beginning,Ya,
59,2019,MatiAnak,Ya,
60,2019,Bumi Itu Bulat,Ya,
61,2019,Pocong the Origin,Ya,
62,2019,Ambu,Ya,
63,2019,DoReMi & You,Ya,
64,2019,Mahasiswi Baru,Ya,
65,2019,99 Nama Cinta,Ya,
66,2020,Temen Kondangan,Ya,
67,2020,Toko Barang Mantan,Ya,
68,2020,Nona,Ya,Film orisinal Disney+ Hotstar
69,2021,Layla Majnun,Ya,Film orisinal Netflix
70,2021,Backstage,Ya,
71,2022,Kukira Kau Rumah,Ya,Juga sebagai aktor
72,2022,Madu Murni,Ya,
73,2022,The Sacred Riana 2: Bloody Mary,Ya,
74,2022,Sayap-Sayap Patah,Ya,
75,2022,Tegar,Ya,
76,2023,Hidayah,Ya,
77,2023,Perjanjian Gaib,Ya,
78,2023,"Anwar, The Untold Story",Ya,Film Malaysia
