,P e s a w a t,B u a t a n,T i p e,V a r i a n,B e r o p e r a s i,C a t a t a n
0,Boeing F/A-18E/F,Amerika Serikat,multiperan,F/A-18F,24,
1,F-35 Lightning II,Amerika Serikat,multiperan siluman,F-35A,48,24 menunggu pengiriman – lima berbasis di AS menyediakan pelatihan[12]
2,AEW&C,AEW&C,AEW&C,AEW&C,AEW&C,AEW&C
3,Boeing 737,Amerika Serikat,AEW&C,E-7A,6[13],
4,Pesawat peperangan elektronik,Pesawat peperangan elektronik,Pesawat peperangan elektronik,Pesawat peperangan elektronik,Pesawat peperangan elektronik,Pesawat peperangan elektronik
5,Boeing EA-18G,Amerika Serikat,pengganggu radar / SEAD,,11,1 dalam pesanan[13]
6,Gulfstream G550,Amerika Serikat,SIGINT / ELINT,MC-55A,,4 dalam pesanan[13][14]
7,Patroli maritim,Patroli maritim,Patroli maritim,Patroli maritim,Patroli maritim,Patroli maritim
8,Boeing P-8,Amerika Serikat,ASW / patroli,,12,2 dalam pesanan[13]
9,AP-3C Orion,Amerika Serikat,patroli maritim,,2[13],
10,Pengisian bahan bakar,Pengisian bahan bakar,Pengisian bahan bakar,Pengisian bahan bakar,Pengisian bahan bakar,Pengisian bahan bakar
11,Airbus A330 MRTT,Prancis,pengisian BBM / pengangkut,KC-30A,7[13],
12,Pesawat pengangkut,Pesawat pengangkut,Pesawat pengangkut,Pesawat pengangkut,Pesawat pengangkut,Pesawat pengangkut
13,Boeing 737,Amerika Serikat,transportasi VIP,,2[15],
14,Boeing C-17,Amerika Serikat,pengangkut strategis,,8[13],
15,C-27J Spartan,Italia,pengangkut utilitas,,10[13],
16,Super King Air,Amerika Serikat,utilitas / pengangkut,350,8[13],3 digunakan untuk misi ISTAR[16]
17,Dassault Falcon 7x,Prancis,transportasi VIP,,3[17],
18,C-130J Super Hercules,Amerika Serikat,pengangkut strategis,C-130J-30,12[13],
19,Pesawat latih,Pesawat latih,Pesawat latih,Pesawat latih,Pesawat latih,Pesawat latih
20,BAE Hawk,Britania Raya,latih utama,Hawk 127,33[13],
21,Pilatus PC-21,Swiss,latih,,46[13],
22,Super King Air,Amerika Serikat,latih multi-mesin,350,4[13],
23,UAV,UAV,UAV,UAV,UAV,UAV
24,MQ-4C Triton,Amerika Serikat,"HALE, ISR",,,6 dalam pesanan[18]
25,MQ-9 Reaper,Amerika Serikat,"HALE, ISR",,,12 dalam pesanan[19][20]
26,MQ-28A Ghost Bat,Australia,AI UCAV,,,6 dalam pesanan[21]
