,N a m a   u m u m,R u m u s,N a m a   h i s t o r i s
0,Aluminium,Al3+,
1,Barium,Ba2+,
2,Berilium,Be2+,
3,Kalsium,Ca2+,
4,Kromium(III),Cr3+,
5,Tembaga(I),Cu+,kupro
6,Tembaga(II),Cu2+,kupri
7,Hidrogen,H+,
8,Besi(II),Fe2+,fero
9,Besi(III),Fe3+,feri
10,Timbal(II),Pb2+,plumbo
11,Timbal(IV),Pb4+,plumbi
12,Litium,Li+,
13,Magnesium,Mg2+,
14,Mangan(II),Mn2+,
15,Raksa(II),Hg2+,merkuri
16,Kalium,K+,
17,Perak,Ag+,argento
18,Natrium,Na+,
19,Stronsium,Sr2+,
20,Timah(II),Sn2+,stano
21,Timah(IV),Sn4+,stani
22,Seng,Zn2+,
23,Kation poliatomik,Kation poliatomik,Kation poliatomik
24,Amonium,NH+4,
25,Hidronium,H3O+,
26,Raksa(I),Hg2+2,merkuro
