,1 0   P r o d u s e n   A p e l   T e r b e s a r   —   1 1   J u n i   2 0 0 8,1 0   P r o d u s e n   A p e l   T e r b e s a r   —   1 1   J u n i   2 0 0 8,1 0   P r o d u s e n   A p e l   T e r b e s a r   —   1 1   J u n i   2 0 0 8,1 0   P r o d u s e n   A p e l   T e r b e s a r   —   1 1   J u n i   2 0 0 8,1 0   P r o d u s e n   A p e l   T e r b e s a r   —   1 1   J u n i   2 0 0 8
0,Tiongkok,27 507 000,F,,
1,Amerika Serikat,4 237 730,,,
2,Iran,2 660 000,F,,
3,Turki,2 266 437,,,
4,Rusia,2 211 000,F,,
5,Italia,2 072 500,,,
6,India,2 001 400,,,
7,Prancis,1 800 000,F,,
8,Chili,1 390 000,F,,
9,Argentina,1 300 000,F,,
10,Dunia,64 255 520,A,,
11,"Tidak ada lambang = perkiraan resmi, F = perkiraan FAO, A = agregat (dapat meliputi perkiraan resmi atau semi-resmi); Sumber: FAO","Tidak ada lambang = perkiraan resmi, F = perkiraan FAO, A = agregat (dapat meliputi perkiraan resmi atau semi-resmi); Sumber: FAO","Tidak ada lambang = perkiraan resmi, F = perkiraan FAO, A = agregat (dapat meliputi perkiraan resmi atau semi-resmi); Sumber: FAO","Tidak ada lambang = perkiraan resmi, F = perkiraan FAO, A = agregat (dapat meliputi perkiraan resmi atau semi-resmi); Sumber: FAO","Tidak ada lambang = perkiraan resmi, F = perkiraan FAO, A = agregat (dapat meliputi perkiraan resmi atau semi-resmi); Sumber: FAO"
