,P e r i o d e,P e m a s o k   k o s t u m,S p o n s o r   b a j u   ( d a d a ),S p o n s o r   b a j u   ( l e n g a n )
0,1886–1930,Tidak ada,Tidak ada,Tidak ada
1,1930–1970,Bukta,Tidak ada,Tidak ada
2,1971–1981,Umbro,Tidak ada,Tidak ada
3,1981–1986,Umbro,JVC,Tidak ada
4,1986–1994,Adidas,JVC,Tidak ada
5,1994–1999,Nike,JVC,Tidak ada
6,1999–2002,Nike,Dreamcast Sega,Tidak ada
7,2002–2006,Nike,O2,Tidak ada
8,2006–2014,Nike,Fly Emirates[13],Tidak ada
9,2014–2019,Puma,Fly Emirates[13],Visit Rwanda[14] (2018–sekarang)
10,2019–sekarang,Adidas[15],Fly Emirates[13],Visit Rwanda[14] (2018–sekarang)
