,S u b k a w a s a n,N e g a r a,B e n d e r a,I b u   k o t a,M a t a   u a n g,P e m e r i n t a h a n,B a h a s a   R e s m i,L a m b a n g
0,Indochina,Kamboja,,Phnom Penh,Riel,Kerajaan (Raja),Kamboja & Prancis,
1,Indochina,Laos,,Vientiane,Kip,Republik (Presiden),Laos,
2,Indochina,Myanmar,,Naypyidaw,Kyat,Republik (Presiden),Myanmar,
3,Indochina,Vietnam,,Hanoi,Đồng,Republik (Presiden),Vietnam,
4,Indochina,Thailand,,Bangkok,Baht,Kerajaan (Raja),Thai,
5,Semenanjung Malaya,Thailand,,Bangkok,Baht,Kerajaan (Raja),Thai,
6,Semenanjung Malaya,Malaysia,,Kuala Lumpur,Ringgit,Kerajaan (Sultan/Yang diPertuan Agong),"Malaysia, Inggris, Mandarin & Tamil",
7,Kepulauan Melayu,Malaysia,,Kuala Lumpur,Ringgit,Kerajaan (Sultan/Yang diPertuan Agong),"Malaysia, Inggris, Mandarin & Tamil",
8,Kepulauan Melayu,Indonesia,,Jakarta,Rupiah,Republik (Presiden),Bahasa Indonesia,
9,Kepulauan Melayu,Filipina,,Manila,Peso,Republik (Presiden),"Filipino (Tagalog), Inggris & Spanyol",
10,Kepulauan Melayu,Singapura,,Singapura,Dolar Singapura,Republik (Presiden),"Inggris, Mandarin, Melayu & Tamil",
11,Kepulauan Melayu,Brunei Darussalam,,Bandar Seri Begawan,Dolar Brunei,Kerajaan Islam (Sultan),Melayu & Inggris,
12,Kepulauan Melayu,Timor Leste,,Dili,Dolar Amerika Serikat,Republik (Presiden),Tetun & Portugis,
