,N e g a r a,L u a s   k m ²,P o p u l a s i,K e p a d a t a n   P o p u l a s i p e r   k m ²,I P M   ( 2 0 1 1 ),I b u   k o t a
0,Tiongkok,9.596.961,1.339.724.852,138.0,0687,Beijing
1,Hong Kong (Tiongkok),1.104,7.061.200,6.39,0898,Hong Kong
2,Makau (Tiongkok),30,556.800,18.662,Tidak ada data,Makau
3,Taiwan,36.188,23.174.528,639.0,0882,Taipei
4,Jepang,377.930,127.950.000,337.0,0901,Tokyo
5,Korea Selatan,99.828,48.988.833,500.0,0897,Seoul
6,Korea Utara,120.538,24.346.000,198.0,Tidak ada data,Pyongyang
7,Mongolia,1.564.100,2.809.600,2.0,0653,Ulan Bator
8,Mikronesia,702,106.104,205.0,0630,Palikir
9,Kepulauan Marshall,181,56.086,215.0,0572,Majuro
10,Palau,4584,17.948,233.0,0.782,Ngerulmud
11,Nauru,2098,11200,234.0,0627,Yaren
12,Kiribati,811,106.461,200.0,0607,Tarawa Selatan
13,Mariana Utara,4753,53.833,220.0,0771,Saipan
14,Guam,5413,159.358,181.0,0767,Hagåtña
