,B a d a i   A t l a n t i k   p a l i n g   k u a t,B a d a i   A t l a n t i k   p a l i n g   k u a t,B a d a i   A t l a n t i k   p a l i n g   k u a t,B a d a i   A t l a n t i k   p a l i n g   k u a t,B a d a i   A t l a n t i k   p a l i n g   k u a t,B a d a i   A t l a n t i k   p a l i n g   k u a t
0,1,Wilma,2005,882,2605,
1,2,Gilbert,1988,888,2623,
2,3,"""Hari Buruh""",1935,892,2634,
3,4,Rita,2005,895,2643,
4,5,Allen,1980,899,2655,
5,6,Camille,1969,900,2658,
6,7,Katrina,2005,902,2664,
7,8,Mitch,1998,905,2673,
8,8,Dean,2007,905,2673,
9,10,Maria,2017,908,2681,
10,Sumber: HURDAT[7],Sumber: HURDAT[7],Sumber: HURDAT[7],Sumber: HURDAT[7],Sumber: HURDAT[7],
