,N o m o r,B a h a s a   I n d o n e s i a,B a h a s a   A l u n e
0,1.0,"saya, aku",au
1,2.0,"engkau, kamu",ale
2,3.0,"kita, kami",ite
3,4.0,"dia, mereka",ile
4,5.0,ini,meje
5,6.0,itu,mere
6,7.0,apa,sere
7,8.0,siapa,ale sire
8,9.0,berapa,ila
9,10.0,di mana,eteka
10,11.0,mengapa,mula
11,12.0,bagaimana,mula
12,13.0,banyak,bokala
13,14.0,semua,pusulu
14,15.0,satu,esa
15,16.0,dua,lua
16,17.0,tiga,telu
17,18.0,empat,ata
18,19.0,lima,lima
19,20.0,enam,ne
20,21.0,tujuh,itu
21,22.0,delapan,walu
22,23.0,sembilan,sikwa
23,24.0,sepuluh,butusya
24,25.0,sebelas,butuaya lesin esa
25,26.0,dua belas,butusya lesin lua
26,27.0,tiga belas,butusya lesin telu
27,28.0,empat belas,butusya lesin ata
28,29.0,lima belas,butusya lesin lima
29,30.0,dua puluh,butu lua
30,31.0,tiga puluh,butu telu
31,32.0,empat puluh,butu ata
32,33.0,lima puluh,butu lima
33,34.0,seratus,utune
34,35.0,seratus dua,utune lua
35,36.0,seratus sepuluh,utune butusya
36,37.0,seratus lima belas,utune butusya lesin lima
37,38.0,seratus dua puluh,utune butu lua
38,39.0,seribu,usate
39,40.0,sepuluh ribu,usate butusya
40,41.0,kecil,tone
41,42.0,panjang,nanuke
42,43.0,tinggi,nanuke lolete
43,44.0,lebar,elake
44,45.0,dalam,nanuke
45,46.0,pendek,rokon
46,47.0,halus,mutale
47,48.0,kasar,kaberele
48,49.0,laki-laki,makwai
49,50.0,perempuan,dina
50,51.0,ikan,iyane
51,52.0,burung,manuwe
52,53.0,kerbau,apale hena Ramene
53,54.0,sapi,sape
54,55.0,udang,mitale
55,56.0,anjing,asu
56,57.0,kucing,mau
57,58.0,rusa,maralane
58,59.0,babi,apale
59,60.0,kus-kus,marele
60,61.0,ular,niakwe
61,62.0,katak,totu
62,63.0,biawak,sakwala
63,64.0,cecak,kalate
64,65.0,kupu-kupu,palaene
65,66.0,belalang,kwawe
66,67.0,buaya,buka
67,68.0,lipan,laltane
68,69.0,kalajengking,kwarorane
69,70.0,penyu,benu
70,71.0,ikan hiu,iyane hiu
71,72.0,ayam hutan,maleune
72,73.0,ikan kembung,ia Tukuno
73,74.0,teripang,batele meite
74,75.0,kera,kesi
75,76.0,itik,bebekue
76,77.0,burung bangau,manue sasulite
77,78.0,burung camar,manue bulakwane
78,79.0,kura-kura,pene
79,80.0,burung elang,tipikwele
80,81.0,burung kake tua,laka
81,82.0,mangga,pananu
82,83.0,padi,ala
83,84.0,jagung,sesale
84,85.0,kelapa,nikwele
85,86.0,keladi,setu
86,87.0,jambu,tepeta
87,88.0,cengkeh,aiinai
88,89.0,daun,aitetui/ailoini
89,90.0,dahan,aisanai
90,91.0,akar,ailamuti
91,92.0,ranting,aisanaibubui
92,93.0,jeruk,musi
