,N o m o r,B a h a s a   B a k u m p a i,B a h a s a   I n d o n e s i a,B a h a s a   B a n j a r
0,1.0,alih,pindah,alih
1,2.0,aran,nama,ngaran
2,3.0,ampah,gantung,
3,4.0,apa,ayah,
4,5.0,alang,lihat,
5,6.0,andung,pelampung,
6,7.0,ambul,muncul,ambul (muncul dari air)
7,8.0,ampi,rupa,
8,9.0,asai,kira,
9,10.0,andau,hari,
10,11.0,asu,anjing,h/adupan
11,12.0,awen,mereka,buhannya
12,13.0,aweh,siapa,
13,14.0,atei,hati,
14,15.0,ansep,asap,
15,16.0,apui,api,
16,17.0,auh,kata,
17,18.0,amun,kalau,
18,19.0,atawa,atau,
19,20.0,awi,karena,
20,21.0,akam,untukmu,
21,22.0,ading,adik,
22,23.0,arak,iring-iringan,ba arak
23,24.0,ayum,kepunyaan,ampun
24,25.0,amang,paman,amang
25,26.0,aken,keponakan,kamanakan
26,27.0,ampin,tampang,
27,28.0,amak,tikar,
28,29.0,ayu,mari,
29,30.0,akan,untuk,gasan
30,31.0,are,banyak,
31,32.0,ahei,katanya,ujarnya
32,33.0,awan,awan,
33,34.0,bawi,perempuan,bibinian
34,35.0,bakei,kera,warik
35,36.0,bahanyi,berani,wani
36,37.0,bisa,basah,
37,38.0,wisa,bisa,wisa
38,39.0,balawa,bersih,
39,40.0,bahat,ikat,babat
40,41.0,buli,kembali,bulik
41,42.0,bujur,betul,bujur
42,43.0,baleh,balas,balas
43,44.0,bakas,tua,tuha
44,45.0,biwih,bibir,
45,46.0,buntis,betis,batis
46,47.0,bua,buah,
47,48.0,buayi,buaya,
48,49.0,bijat,rusak,
49,50.0,bukih,rajin,cangkal
50,51.0,bau,bau,
51,52.0,balepah,semua,sabarataan
52,53.0,beken,bukan,
53,54.0,buhen,mengapa,
54,55.0,balengkong,kerongongan,
55,56.0,batiruh,tidur,guring (nyenyak)
56,57.0,bujang,remaja,
57,58.0,behas,beras,
58,59.0,beut,berot,
59,60.0,bensuh,kenyang,
60,61.0,balau,rambut,
61,62.0,bahan,bahu,
62,63.0,balasu,panas,
63,64.0,bahandang,merah,habang
64,65.0,baha,barah,
65,66.0,balanai,belanga,
66,67.0,binantu,menantu,minantu
67,68.0,bangah,terbuka,
68,69.0,hindai,belum,balum
69,70.0,buyut,buyut,
70,71.0,bungul,bodoh,bungul
71,72.0,badengen,tuli,bangang
72,73.0,babute,buta,
73,74.0,buntut,ekor,buntut
74,75.0,lumbuk,lombok,
75,76.0,baluh,labu,waluh
76,77.0,bilik,kamar,
77,78.0,bahenda,kuning,
78,79.0,catuk,pukul,catuk
79,80.0,cikang,cabang,cikang
80,81.0,cakah,sombong,cakah
81,82.0,cangker,cangkir,
82,83.0,caruman,beritahu,habari
83,84.0,cakakah,sombong,
84,85.0,camplon,kapal,
85,86.0,caramin,cermin,caramin
86,87.0,culas,curang,culas
87,88.0,cara,cara,
88,89.0,duruh,jatuh,gugur
89,90.0,dasau,bunyi air,dasau (bunyi air deras)
90,91.0,dinu,ambil,jumput
91,92.0,due,dua,
92,93.0,danda,denda,
93,94.0,duhi,duri,
94,95.0,duhup,tolong,
95,96.0,danum,air,
96,97.0,depe,depa,dapa
97,98.0,dawen,daun,
98,99.0,dumah,datang,
99,100.0,dinun,dapat,
100,101.0,dipah,seberang,subarang
101,102.0,dehen,kuat,
102,103.0,dawat,tinta,tintah
103,104.0,duit,uang,duit
104,105.0,dampar,berhamburan,"badampar, basapai"
105,106.0,durum,teduh,
