,N o m o r,B a h a s a   B e s o a,B a h a s a   I n d o n e s i a
0,1.,isa,satu
1,2.,dua,dua
2,3.,talu,tiga
3,4.,iba,empat
4,5.,lima,lima
5,6.,ini,enam
6,7.,pitu,tujuh
7,8.,uwalu,delapan
8,9.,hahio,sembilan
9,10.,hampulo,sepuluh
10,11.,hampulo hai isa,sebelas
11,12.,hampulo hai dua,dua belas
12,13.,rampulo,dua puluh
13,14.,talu pulona,tiga puluh
14,15.,hangatu,seratus
15,16.,hangatu hai isa,seratus satu
16,17.,hasabu,seribu
17,18.,hasabu hai isa,seribu satu
18,19.,hasabu hai hampulo,seribu sepuluh
19,20.,hasabu hai hangatu,seribu seratus
20,21.,hantanga,setengah
21,22.,karongkanina,kedua kali
22,23.,talu kanina,tiga kali
23,24.,hangatu kanina,seratus kali
24,25.,isa hai hatanga,satu setengah
25,26.,wua,kepala
26,27.,kire,dahi
27,28.,teti mata,kening
28,29.,mata,mata
29,30.,ilo,hidung
30,31.,bobe ilo,lubang hidung
31,32.,hume,bibir
32,33.,nganga,mulut
33,34.,are,dagu
34,35.,talinga,telinga
35,36.,tambolo,leher
36,37.,ponda,dada
37,38.,wanga,bahu
38,39.,kadu,punggung
39,40.,hope,pinggang
40,41.,palo,pantat
41,42.,tae,tangan
42,43.,hiu,siku
43,44.,karawe tae,jari tangan
44,45.,lila,lidah
45,46.,ngihi,gigi
46,47.,kalanda baga,gusi
47,48.,welua,rambut
48,49.,wulu pehihi,bulu roma
49,50.,pa'a,paha
50,51.,kuntu,lutut
51,52.,tulu biti,betis
52,53.,tai,perut
53,54.,kateda,ketiak
54,55.,huhu,susu
55,56.,peli,pipi
56,57.,laho,kemaluan laki-laki
57,58.,wii,kemaluan perempuan
58,59.,kanu,kuku
59,60.,pohi,pusat
60,61.,biti,kaki
61,62.,lindo,muka
62,63.,kara,langit-langit
63,64.,karawe biti,jari kaki
64,65.,pado',tumit
65,66.,palanta tae,telapak tangan
66,67.,palanta biti,telapak kaki
