,B e t a w i   O r a ',B e t a w i   T e n g a h a n,B a h a s a   I n d o n e s i a
0,apa,apè,apa
1,siapa; sapa,siapè; sapè,siapa
2,pegimana; begimana; gimana,pegimanè; begimanè; gimanè,bagaimana
3,kenapa; ngapa,kenapè; ngapè,kenapa
4,ada,adè,ada
5,iya',iyè,iya
6,aja; baé',ajè,saja
7,kaga; ngga; ora,kaga; ngga,tidak
8,gua; saya; kita,guè; ayè; sayè,aku
9,baba',babèh,ayah
10,biarin; bagén; antepin; tepinin,biarin; tepinin,biarkan
11,amat; bangat; pisan; emen,amat; banget,sangat
12,berantakan; ngamprak,berantakan; berarakan,berserakan
13,masa'; ilok(an),masa'; apa iyè,betulkah; iya kah
