,B a h a s a   B u o l,B a h a s a   I n d o n e s i a
0,ala,ambil
1,ayu,alu
2,agum,rendam
3,agu,kalau
4,apit,singgah
5,alin,menular
6,atin,garam
7,accar,acar
8,apad,bicara
9,alam,alam
10,ajar,ajar
11,anjor,hancur
12,atoo,di sana
13,bindel,mandul
14,boḷe,rumah
15,bole,boleh
16,bugot,beras
17,bubuỵ,kalung
18,bundo,telaga
19,botor,judi
20,bonjor,bocor
21,boso,kelambu
22,bas,tukang
23,bado,laras
24,boyo,ikan
25,bia,kerang
26,bujak,tombak
27,boli,lawan
28,bodu,baju
29,buli,utang
30,buni,huma
31,botu,batu
32,bibik,itik
33,bina,belanga
34,bukad,alas
35,bimi,kambing
36,bute,dayung
37,bukau,tempurung
38,bali,orang Bali
39,bukad,alas
40,biug,nira
41,boya,dahi
42,baje,jenis kue
43,botoỵ,botol
44,boug,kuah
45,baiya,buaya
46,dodok,jenis bedak
47,dotog,muatan
48,diwon,tiada
49,diila,tidak
50,dila,lidah
51,dedes,musang
52,dokop,sekam
53,doum,jahit
54,duyom,awan
55,doỵan,jalan
56,doki,daki
57,duku,dukuh
58,dudoum,jarum
59,diuk,anjing
60,dupot,angin
61,diot,boneka
62,enek,lebur
63,eget,meleleh
64,elam,merah
65,ere,jodoh
66,ena,cerewet
67,goso,asah
68,gaỵas,gelas
69,gumbet,pesek
70,gambos,gambus
71,gie,lidi
72,gile,minta
73,god,gapai
74,guya,gula
75,gua,kebun
76,gukop,mengeram
77,garagadi,gergaji
78,gili,nuri
79,gutu,karang
80,giman,jerat
81,gui,malam
82,hina,hina
83,hapaỵ,hapal
84,hapa,ofker
85,haniis,sirsak
86,hoga,pipa rokok
87,haji,haji
88,harus,lengah
89,haaselo,pajak
90,haruas,kudung
91,iag,bulan
92,indaam,mengunyah
93,iko,engkau
94,ikot,ikat
95,ilun,ilun
96,ibug,ludah
97,ina,ibu
98,init,panas
99,inum,minum
100,tupu,sambung
101,jojo,paksa
102,jayo,mengamuk
103,jambuỵ,campur
104,jangaỵ,jangkar
105,jambak,tempat air
106,jakat,zakat
107,jujuỵ,dodol
108,jangu,jangguk
109,jonge,tarian
110,kile,kening
111,kabut,potong kompas
112,kavut,lari
113,kaca,kaca
114,kacan,kacang
115,kut,ambeien
116,kooi,ranjang
117,koỵanob,perangkap
118,kuaun,sangkar
119,kareja,kerja
120,kokop,dekap
121,katam,asam
122,kapin,sisa
123,kawa,kawat
124,kelut,keris
125,kokab,usap
126,kutu,kutu
127,kokod,suluh
128,kekedi,ketiak
129,kelo,kelor
130,keleg,kuat
131,kavu,abu-abu
132,kokot,gigit
133,loỵo,wajah
134,layo,telan liur
135,layap,panau
136,lanap,lenyap
137,loyab,luka kena getah mangga
138,layat,nenas
139,lovun,berjamur
140,loỵap,penari
141,liter,liter
142,levu,kotor
143,leon,lupa
144,limat,limas
145,limumug,air kumuran
146,linug,gempa bumi
147,manuk,ayam
148,miit,manis
149,maate,mati
150,maali,bisa
151,mahaỵ,mahal
152,monu,berapa
153,mamag,tumpul
154,maino,mana
155,madika,raja
156,mato,mata
157,morepa,susah
158,masikin,miskin
159,nai,jangan
160,nano,nangka
161,nali,jadi
162,nunuk,beringin
163,nogu,dia mau
164,nora,sejenis kue
165,notu,telur
166,nadidi,tante
167,naa,nyawa
168,nai,gundik
169,nano,mulut
170,nenen,cengang
171,nanat,langit-langit
172,nonod,kelopak
173,ninian,sakit sekali
174,naru,marah
175,ondon,lihat
176,oỵan,mabuk
177,oput,habis
178,ono,dingin
179,oỵon,tenang
180,puyu,kelapa tiada isi
181,puỵu,hulu parang
182,paa,paha
183,paki,gasing
184,pake,pakai
185,pahaya,pahala
186,pore,bagus
187,parakisa,periksa
188,pasau,jenis kue
189,puỵuka,celana
190,poỵok,asap
191,poyok,pendek
192,poduk,parang
193,ras,lama
194,roa,ramai
195,rasun,racun
196,ramba,bumbu
197,randa,jaring
198,roda,roda
199,rojiki,rezeki
200,suji,sulam
201,suci,bersih
202,soỵo,korek api
203,suku,puas
204,supa,takaran
205,sogor,tegur
206,sumbil,kumis
207,sanger,cangkir
208,songoh,kopiah
209,totop,isap
210,tukad,tanggal
211,tukod,penopang
212,togot,keras
213,tobuk,tikam
214,topuk,tepuk
215,tape,malas
216,tapa,anak sungai
217,takob,penutup
218,tanob,menimba
219,tangob,menjongkok
220,torat,lempar
221,tokap,tampar
222,taup,ampas padi
223,tambuy,lebar
224,tami,sanggup
225,timu,kuman
226,toyom,semut
227,totoỵ,span
228,tilo,mereka
229,tangop,gerhana
230,tepa,tendang
231,tonuk,pagar
232,tuku,lutut
233,tutub,tutup
234,totog,sundal
235,tilon,kapur
236,todut,bungkus
237,tau,orang
238,totok,cecak
239,tugu,tugu
240,tepu,daging
241,tevu,belah
242,tenden,sanjung
243,togo,lampu
244,tuỵab,tertusuk
245,toten,titian
246,tuvu,penyakit
247,tuga,jawaban
248,tagu,simpan
249,ugot,urat
250,uvut,pucuk
251,uput,ekor
252,ui,ubi
253,ue,rotan
254,uvun,hiu
255,uyom,suram
256,utan,sayur
257,uwak,kelelawar
258,uwad,buka
259,uwan,uban
260,uwat,usia lanjut
