,A n g k a,B i l a n g a n   A s l i,B i l a n g a n t u r u n a n   S p a n y o l
0,0,walà,"nulo, sero"
1,1,usá,uno
2,2,duhá,dos
3,3,tuló,tres
4,4,upát,kwatro
5,5,limá,singko
6,6,unóm,séys
7,7,pitó,siyete
8,8,waló,otso
9,9,siyám,nwebe
10,10,"napulò, pulò",diyés
11,11,napúlog usá,onse
12,12,napúlog duhá,dose
13,13,napúlog tuló,trese
14,14,napúlog upát,katórse
15,15,napúlog limá,kinse
16,16,napúlog unóm,diyesiséys
17,17,napúlog pitó,diyesisiyete
18,18,napúlog waló,diyesiyotso
19,19,napúlog siyám,diyesinwebe
20,20,kaluháan (kaduháan),beynte
21,21,kaluháag usá,beyntiwuno
22,22,kaluháag duhá,beyntidos
23,23,kaluháag tuló,beyntitres
24,24,kaluháag upát,beyntikwatro
25,25,kaluháag limá,beyntisingko
26,30,katló-an (katuló-an),treynta
27,40,kap-atan (kaupátan),kwarénta
28,50,kalím-an (kalimá-an),sinkwénta
29,60,kan-uman (ka-unóman),sesenta
30,70,kapitó-an,seténta
31,80,kawaló-an,otsénta
32,90,kasiyáman,nobénta
33,100,usá ka gatós,"siyén, siyento"
34,200,duhá ka gatós,dosiyéntos
35,300,tuló ka gatós,tresiyéntos
36,400,upát ka gatós,kwatrosiyéntos
37,500,limá ka gatós,kiniyéntos
38,1.000,usá ka libo,mil
39,5.000,limá ka libo,singko mil
40,10.000,"usá ka laksà, napulò ka libo",diyes mil
41,50.000,"limá ka laksà, kalím-an ka libo",singkwenta mil
42,100.000,"napulò ka laksà, usá ka gatós ka líbo",siyén mil
43,1.000.000,usá ka yukót,milyón
44,1.000.000.000,usá ka wakát,bilyón (mil milyones)
