,K o s a k a t a,s a t u,d u a,t i g a,e m p a t,o r a n g,r u m a h,a n j i n g,k e l a p a,h a r i,b a r u,k i t a,a p a,a p i
0,Tagalog,isa,dalawa,tatlo,apat,tao,bahay,aso,niyog,araw,bago,tayo,ano,apoy
1,Bikol,saro,duwa,tulo,apat,tawo,harong,ayam,niyog,aldaw,ba-go,kita,ano,kalayo
2,Cebuano,usa,duha,tulo,upat,tawo,balay,iro,lubi,adlaw,bag-o,kita,unsa,kalayo
3,Winaray,usa,duha,tulo,upat,tawo,balay,ayam,lubi,adlaw,bag-o,kita,ano,kalayo
4,Hiligaynon,isa,duwa,tatlo,apat,tawo,balay,ido,lubi,adlaw,bag-o,kita,ano,kalayo
5,Tausug,hambuuk,duwa,tu,upat,tau,bay,iru',niyug,adlaw,ba-gu,kitaniyu,unu,kayu
6,Kinaray-a,sara,darwa,tatlo,apat,taho,balay,ayam,niyog,adlaw,bag-o,"kita, taten",ano,kalayo
7,Akeanon,isa,daywa,tatlo,apat,tawo,baeay,ayam,niyog,adlaw,bag-o,kita,ano,kaeayo
8,Maranao,isa,dowa,t'lo,phat,taw,walay,aso,neyog,gawi'e,bago,tano,tonaa,apoy
9,Pangasinan,sakey,"dua, duara","talo, talora","apat, apatira",too,abong,aso,niyog,ageo,balo,sikatayo,anto,pool
10,Ilokano,maysa,dua,tallo,uppat,tao,balay,aso,niog,aldaw,baro,sitayo,ania,apoy
11,Ivatan,asa,dadowa,tatdo,apat,tao,vahay,chito,niyoy,araw,va-yo,yaten,ango,apoy
12,Tao,ása,dóa (raroa),tílo (tatlo),apat (ápat),tao,vahay,chito,niyoy,araw,vayo,yaten,ango,apoy
13,Kapampangan,metung,adwa,atlu,apat,tau,bale,asu,ngungut,aldo,bayu,ikatamu,nanu,api
14,Ibanag,tadday,dua,tallu,appa',tolay,balay,kitu,niuk,aggaw,bagu,sittam,anni,afi
15,Gaddang,antet,addwa,tallo,appat,tolay,balay,atu,ayog,aw,bawu,ikkanetam,sanenay,afuy
16,Tboli,sotu,lewu,tlu,fat,tau,gunu,ohu,lefo,kdaw,lomi,tekuy,tedu,ofih
17,Tombulu (Minahasa),esa,rua,telu,epat,tou,wale,asu,po'po',endo,weru,kita,apa,api
18,Sangihe,sembau,darua,tatelu,epa,tau,balé,asu/kapuna,tombong,elo,wuhu,kite,kawe,putung
19,Gorontalo,tuwewu,duluwo,totolu,wopato,tawu,bele,'apula,sekat,dulahu,bohu,'ito,wolo,tulu
20,Bolaang Mongondow,"tobatu, inta'","doyowa, dua",tolu,opat,tau,baloy,ungku',bango',singgay,bagu,kita,onu,tulu'
