,N o m o r,B a h a s a   G a l e l a,B a h a s a   I n d o n e s i a
0,1.,ngohi,saya
1,2.,ngona,engkau
2,3.,ngini,kalian
3,4.,una,dia lelaki
4,5.,muna,dia perempuan
5,6.,ngone,kita
6,7.,ona,mereka
7,8.,manena,ini
8,9.,magena,itu
9,10.,kanena,di sini
10,11.,madoke,di sana
11,12.,kadoke,di situ
12,13.,kia,apa
13,14.,nago ona,siapa
14,15.,muruo,berapa
15,16.,kiaka,di mana
16,17.,dadooha,mengapa
17,18.,dadooha,bagaimana
18,19.,dala,banyak
19,20.,dangodu,semua
20,21.,masononga,separuh
21,22.,moi,satu
22,23.,sinoto,dua
23,24.,saange,tiga
24,25.,iha,empat
25,26.,motoha,lima
26,27.,butanga,enam
27,28.,tumudingi,tujuh
28,29.,tupaange,delapan
29,30.,siwo,sembilan
30,31.,mogiowo,sepuluh
31,32.,mogiowo de moi,sebelas
32,33.,mogiowo de sinoto,dua belas
33,34.,mogiowo de saange,tiga belas
34,35.,mogiowo de iha,empat belas
35,36.,mogiowo de motoha,lima belas
36,37.,monahalo,dua puluh
37,38.,moruange,tiga puluh
38,39.,moruba,empat puluh
39,40.,moritoha,lima puluh
40,41.,ratu moi,seratus
41,42.,ratu moi demoi,seratus satu
42,43.,ratu moi de sinoto,seratus dua
43,44.,ratu moi de mogiowo,seratus sepuluh
44,45.,ratu moi de mogiowo de motoha,seratus lima belas
45,46.,cala moi,seribu
46,47.,cala mogiowo,sepuluh ribu
47,48.,doduga,ukuran
48,49.,daceke,kecil
49,50.,lamo,besar
50,51.,kaku-kuru,panjang
51,52.,kakue,tinggi
52,53.,ngoha,lebar
53,54.,maraba,dalam
54,55.,timisi,pendek
55,56.,yanau,laki-laki
56,57.,ngapedeka,perempuan
57,58.,nao,ikan
58,59.,namo,burung
59,60.,luri,nuri
60,61.,gotola,kakatua putih
61,62.,gatopa,kakatua hijau
62,63.,tuma,bangun
63,64.,meleu,ayam hutan
64,65.,goroko,burung hantu
65,66.,gegeko,sapi
66,67.,kabi,kambing
67,68.,titi mamoka,babi jantan
68,69.,titi maesa,babi betina
69,70.,kaso,anjing
70,71.,boki,kucing
71,72.,manjanga,rusa
72,73.,ngihiya,ular
73,74.,kuso,kuskus
74,75.,karianga,biawak
75,76.,lalaheka,cecak
76,77.,gosoma,buaya
77,78.,dode,udang
78,79.,kohora,ketam
79,80.,ori,penyu
80,8L,sangkura,penyu darat
81,82.,gosango,ikan hiu
82,83.,rumo,ikan kembung
83,84.,ido,ikan tongkol
84,85.,ngawaro,ikan julung
85,86.,lebo,ikan gabus
86,87.,tohi,ikan terbang
87,88.,laluba,lumba-lumba
88,89.,sangu-sangu,ikan paus
89,90.,nyoa,ikan pari
90,91.,tauja,teripang
91,92.,mia,kera
92,Tun,ibuhan,
93,93.,wale,mangga
94,94.,tamo,padi
95,95.,goko,jagung
96,96.,igo kela,kelapa
97,97.,dilago,keladi
98,98.,gora,jambu
99,99.,masoka/soka,daun
100,100.,marohe/rohe,batang
101,101.,ngutu,akar
102,102.,uma,dahan
103,103.,wama,jeruk
104,104.,pari,papare
105,105.,samaka,semangka
106,106.,tim,ketimun
107,107.,imagoto,ketela pohon
108,108.,gumi,ketela rambat
109,109.,kokene,lombok
110,110.,obawa,bawang
111,111.,bawa daare,bawang putih
112,112.,hiba/saketa,kemiri
113,113.,lasa,langsat
114,114.,nguusu,alang-alang
115,115.,gawayas,jambu biji
116,116.,gurati,kunyit
117,117.,Lebeno,enau
118,118.,gosota,pala
119,119.,cangka,cengkeh
120,120.,duriang,durian
121,121.,bastang,manggis
122,122.,naka,nangka
123,123.,gamhonora,cempedak
124,124.,rambutan,rambutan
125,125.,papaya,pepaya
126,126.,goriodo,kedondong
127,127.,dena/moku,pinang
128,128.,peda,sagu
129,129.,sambiki,labu
130,130.,boci,kacang
131,131.,sahe,kepala
132,132.,hutu,rambut
133,133,gonga,kening
134,134.,bio,dahi/wajah
135,135.,ngau,telinga
136,136.,lako,mata
137,137.,ngunu,hidung
138,138.,sadu,dagu
139,139.,tolo,leher
140,140.,ingi,gigi
141,141.,uru,mulut
142,142.,lade,lidah
143,143.,gaka,langit-langit
144,144.,poko,perut
145,145.,mamata,dada
146,146.,doi,pinggang
