,B i l a n g a n,B a h a s a   T i o n g h o a   B a k u,B a h a s a   I n d o n e s i a
0,0,líng,nol
1,1,yī,satu
2,2,èr,dua
3,3,sān,tiga
4,4,sì,empat
5,5,wǔ,lima
6,6,liù,enam
7,7,qī,tujuh
8,8,bā,delapan
9,9,jiǔ,sembilan
10,10,shí,sepuluh
11,20,èr shí,dua puluh
12,30,sān shí,tiga puluh
13,40,sì shí,empat puluh
14,50,wǔ shí,lima puluh
15,60,liù shí,enam puluh
16,70,qī shí,tujuh puluh
17,80,bā shí,delapan puluh
18,90,jiǔ shí,sembilan puluh
19,100,bǎi,seratus
20,1000,qiān,seribu
21,10000,wàn,sepuluh ribu
22,100000,shí wàn,seratus ribu
23,1000000,bǎi wàn,satu juta
24,100000000,jí/qiān wàn,seratus juta
25,1000000000000,zhào,satu triliun
