,K o s a k a t a,Z a z a,S o r a n,K u r m a n j i,P a s h t u n,T a t i,T a l i s i,B a l u c h i,G i l a k i,M a z a n d a r a n,P e r s i a   T a t,L u r i,P e r s i a   I r a n,P e r s i a   P e r t e n g a h a n,P a r t i a,P e r s i a   K u n o,A v e s t a,O s s e t i a
0,indah,"rınd, xasek","nayab, cuwan","rind, delal, bedew, xweşik","x̌kūlay, x̌āista",xojir,ghašang,"dorr, soherâ, mah rang, sharr, juwān","xujir, xojir","xoşgel, xojir","güzəl, ziba, qəşəng","qəşaŋ, xoşgel",zibā/xuš-čehr(e)/xoşgel(ak)/ghashanq/najib,"hučihr, hužihr",hužihr,naiba,"vahu-, srîra",ræsughd
1,darah,goni,xwên,"xwîn, xûn",wīna,xevn,xun,hon,Xun,xun,xun,xī(n),xūn,xōn,gōxan,,vohuni-,tug
2,roti,"nan, non",,,"ḍoḍəi, məṛəi",nun,nun,"nān, nagan",nown,nun,nun,nu(n),nān,nān,nān,,,dzul
3,bawa,ardene,"/anîn, hawerdin, hênan",anîn,(rā)wṛəl,"vârden, biyordon",varde,"âurten, yārag, ārag","havardən, hardən, avardən",biyârden,avardən,"o(v)erden,","āwurdan, biyār (""(kamu) bawa!"")","āwurdan, āwāy-, āwar-, bar-","āwāy-, āwar-, bar-",bara-,"bara, bar-",xæssyn
4,saudara (laki-laki),bıra,"brader, bira",bira,wror,bərâr,"bira, boli","brāt, brās","berær, barâr",birâr,birar,berar,barādar,"brād, brâdar","brād, brādar",brātar,brātar-,æfsymær
5,datang,ameyene,"hatin, were","hatin, were,",rā tləl,biyâmiyan,ome,"āhag, āyag, hatin","hamæn, amown","biyamona, enen, biyâmuen",amarən,umae(n),āmadan,"āmadan, awar","awar, čām","āy-, āgam",āgam-,cæwyn
6,menangis,bermayene,"girîn, giryan",girîn,žəṛəl,bərma,"berame, bame","greewag, grehten",burme,birme,girəstən,"gerevesen, gereva",gerīstan/gerīye,"griy-, bram-",barmâdan,,,kæwyn
7,gelap,tari,tarî/tarîk,tarî,"skəṇ, skaṇ, tyara","ul, gur, târica, târek",toki,tār,,,tariki,tārīk,"tārīk, tār",tārīg/k,"tārīg, tārēn",tārīk,"sâmahe, sâma",tar
8,putri,"keyne, çêne/çêneke","kîj, kiç, kenîşk, düet (pehlewanî)","dot, keç",lūr,"titiye, dətar","kinə, kila","dohtir, duttag","lâku, kowr, kijâ( (perempuan) dətər (putri)","kîjâ(perempuan), deter (putri)",duxtər,doxter,doxtar,duxtar,"duxt, duxtar",,duxδar,"čyzg (Iron), kizgæ (Digor)"
9,hari,"roce, roje, roze",řoj,roj,wrəd͡z (rwəd͡z),"revj, ruz",ruj,roç,ruj,"ruz, ruj",ruz,ru,rūz,rōz,,raucah-,raocah-,bon
