,I s t r o - R u m a n i a,A r u m a n i a,M e g l e n o - R u m a n i a,R u m a n i a,I t a l i a,I n d o n e s i a
0,pićor,cicior,picior,picior,gamba,kaki
1,kľeptu,cheptu,kľeptu,piept,petto,peti
2,bire,ghine,bini,bine,bene,baik
3,bľerå,azghirari,zber,zbiera,ruggire,mengaum
4,fiľu,hilj,iľu,fiu,figlio,anak laki-laki
5,fiľa,hilje,iľe,fiică,figlia,anak perempuan
6,ficåt,hicat,,ficat,fegato,hati
7,fi,hire,ire,fi,essere,"adalah, menjadi"
8,fľer,heru,ieru,fier,ferro,besi
9,vițelu,yitsãl,vițål,vițel,vitello,anak sapi
10,(g)ľerm,iermu,ghiarmi,vierme,verme,cacing
11,viu,yiu,ghiu,viu,vivo,hidup
12,vipt,yiptu,,vipt,cibo (vitto),"makanan, gandum"
13,mľe(lu),njel,m'iel,miel,agnello,domba
14,mľåre,njare,m'ari,miere,miele,madu
