,K a t a   a s l i,K a t a   a s l i,K a t a   a s l i,G l o s a,J e p a n g   K u n o
0,密,mit,mil,tiga,mi1[10][11]
1,于次,hju-tshijH,wucha,lima,itu[10][12]
2,難隱,nan-ʔɨnX,nanun,tujuh,nana[10][13]
3,德,tok,tek,sepuluh,to2wo[10][14]
4,旦,tanH,tan,lembah,tani[15][16]
5,頓,twon,twon,lembah,tani[15][16]
6,吞,then,thon,lembah,tani[15][16]
7,烏斯含,ʔu-sje-hom,wosaham,kelinci,usagi1[17][18]
8,那勿,na-mjut,namwul,timbal,namari[11][17]
9,買,mɛX,may,air,mi1(du) < *me[15][19][20]
10,美,mijX,may,air,mi1(du) < *me[15][19][20]
11,彌,mjieX,mi,air,mi1(du) < *me[15][19][20]
