,N o m o r,B a h a s a   K e m a k,B a h a s a   I n d o n e s i a
0,1.0,au,saya/aku
1,2.0,o,engkau
2,3.0,ua,dia/ia
3,4.0,ami,kami
4,5.0,ita,kita
5,6.0,romo,mereka
6,7.0,nogo,ini
7,8.0,nua,itu
8,9.0,nogo mai,di sini
9,10.0,dia nua / pua nua,di situ
10,11.0,lasere nua,di sana
11,12.0,sabasia,apa
12,13.0,nua,siapa
13,14.0,tau saba,mengapa
14,15.0,pila,berapa
15,16.0,pedenaba,bagaimana
16,17.0,daba,mana
17,18.0,daba la,ke mana
18,19.0,dasa daba,dari mana
19,20.0,sia,satu
20,21.0,rua,dua
21,22.0,telu,tiga
22,23.0,pat,empat
23,24.0,lima,lima
24,25.0,nem,enam
25,26.0,itu,tujuh
26,27.0,balu,delapan
27,28.0,sibe,sembilan
28,29.0,sapuluh,sepuluh
29,30.0,sapuluh resi,sia sebelas
30,31.0,gulurua,dua puluh
31,32.0,gulurua resi sia,dua puluh satu
32,33.0,gulurua resi rua,dua puluh dua
33,34.0,gululima,lima puluh
34,35.0,atussia,seratus
35,36.0,ribunsia,seribu
36,37.0,ribunsapuluh,sepuluh ribu
37,38.0,mloan,depa
38,39.0,boten,besar
39,40.0,bi’in,kecil
40,41.0,mlarun,panjang
41,42.0,badkan,pendek
42,43.0,badkan/ketun,dalam
43,44.0,badkan/ketun,dangkal
44,45.0,mane,laki-laki
45,46.0,aman,jantan
46,47.0,hine,perempuan
47,48.0,inan,betina
48,49.0,atamas/sa,orang
49,50.0,ro her,sudah kawin (P)
50,51.0,ro lair,sudah kawin (L)
51,52.0,hine anakaun,perawan
52,53.0,tai mudu uma,bujang
53,54.0,hine milan,janda
54,55.0,mane milan,duda
55,56.0,Amar,bapak
56,57.0,inar,ibu
57,58.0,ka’ar,kakak laki-laki
58,59.0,nanar,kakak perempuan
59,60.0,alir,adik
60,61.0,babar,paman
61,62.0,ki’ir,bibi
62,63.0,ba’ak,kakak ayah
63,64.0,ba’ak,kakak ibu
64,65.0,tatar mane,kakek
65,66.0,tatar hine,nenek
66,67.0,ubur,cucu
67,68.0,doben inar,ipar
68,69.0,inar,mertua
69,70.0,maner heun,menantu
70,71.0,ahi,babi
71,72.0,ika,ikan
72,73.0,bibu,kambing
73,74.0,brau metan,kerbau
74,75.0,brau baka,sapi
75,76.0,manu,ayam
76,77.0,utu,kutu
77,78.0,lagaloe,laba-laba
78,79.0,hani,lebah
79,80.0,eru,kera
80,81.0,kuda,kuda
81,82.0,mregi,semut
82,83.0,naibei/tatar,buaya
83,84.0,beran,beberapa
84,85.0,hotu-hotu,semua/segala
85,86.0,sia-sia,tiap-tiap
86,87.0,anasia,sedikit
87,88.0,beran,banyak
88,99.0,etu,padi
89,90.0,sele,jagung
90,91.0,nua,kelapa
91,92.0,mu,pisang
92,93.0,heda kasen,nenas
93,94.0,aipun,pohon
94,95.0,ha’an,akar
95,96.0,hini,benih
96,97.0,tahan,daun
97,98.0,etun,bunga
98,99.0,hoan,buah
99,100.0,ultin,kulit
100,101.0,sorun,cabang
