,1,2,3,4,5,6,7,8,9,1 0
0,*isa,*DuSa,*telu,*Sepat,*lima,*enem,*pitu,*walu,*Siwa,*puluq
1,satau,duê,tigê,êmpak,limò,ênang,tujeuh,salapang,sambilêng,sapulouh
2,ciek,duo,tigo,ampek,limo,anam,tujuah,salapan,sambilan,sapuluah
3,cecay,tusa,tulu,sepat,lima,enem,pitu,falu,siwa,pulu'
4,hiji,dua,tilu,opat,lima,genep,tujuh,dalapan,salapan,sapuluh
5,coni,yuso,tuyu,sʉptʉ,eimo,nomʉ,pitu,voyu,sio,maskʉ
6,isá,dalawá,tatló,ápat,limá,ánim,pitó,waló,siyám,sampu
7,maysá,dua,talló,uppát,limá,inném,pitó,waló,siam,sangapúlo
8,usá,duhá,tuló,upat,limá,unom,pitó,waló,siyám,napulu
9,maisa/håcha,hugua,tulu,fatfat,lima,gunum,fiti,guålu,sigua,månot/fulu
10,iray/isa,roa,telo,efatra,dimy,enina,fito,valo,sivy,folo
11,sa,dua,tlau,pak,limy,nam,tajuh,dalipan,thalipan,pluh
12,sada,dua,tolu,opat,lima,onom,pitu,walu,sia,sapuluh
13,do,duai,tlau,pat,lêmo,num,tujuak,dêlapên,sêmbilan,sêpuluak
14,siji,loro,telu,papat,lima,nem,pitu,wolu,sanga,sepuluh
15,ida,rua,tolu,hat,lima,nen,hitu,ualu,sia,sanulu
16,eser/oser,suru,kyor,fyak,rim,wonem,fik,war,siw,samfur
17,dua,rua,tolu,vā,lima,ono,vitu,walu,ciwa,tini
18,teuana,uoua,teniua,aua,nimaua,onoua,itiua,waniua,ruaiua,tebuina
19,tasi,lua,tolu,fā,lima,ono,fitu,valu,iva,sefulu
20,kahi,lua,kolu,hā,lima,ono,hiku,walu,iwa,-'umi
