,F o n e m,C o n t o h   K a t a [ 7 ],C o n t o h   K a t a [ 7 ]
0,Bengkulu,Indonesia,
1,a [a~ɑ],"ajo, ambo","saja, saya"
2,ai [aɪ],kudai,dulu
3,ai [aʊ],limau,jeruk
4,b [b],"bale, baso","balas, bahasa"
5,c [tɕ],"caluk, cak","terasi, seperti"
6,d [d],dapek,dapat
7,e [ɛ],elok,bagus
8,e [ə],"cepek, dekek","cepat, dengan"
9,g [ɡ],guno,guna
10,i [i],"iko, idup","ini, hidup"
11,j [dʑ],"jalan, jugo","jalan, juga"
12,k [k],kato,kata
13,-k [ʔ],kuek,kuat
14,l [l],la,sudah
15,m [m],mato,mata
16,n [n],nangkok,menangkap
17,ng [ŋ],keringek,keringat
18,ny [ɲ],nyato,nyata
19,o [ɔ],oto,mobil
20,p [p],"pai, pulo","pergi, pula"
21,r [ɾ],"ruma, ruso","rumah, rusa"
22,s [s],sikek,sikat
23,si [ɕ],mesiang,mesiang/rafiah
24,t [t],"tobo, tuo","mereka, tua"
25,u [u],utan,hutan
26,w [w],duwo,dua
27,y [j],sayo,saya
