,B a h a s a   M e l a y u   D e l i,B a h a s a   I n d o n e s i a
0,Aah,iya
1,Abah,Abang (ada talian darah); di keluarga-keluarga tertentu dipergunakan untuk menyebut ayah
2,Acan,sengaja mengusik atau mengejek
3,Acap-acap,setinggi
4,Aci,boleh; sah
5,Acik,panggilan untuk adik dari orangtua
6,Acu,menacungkan sesuatu
7,Agah,bercanda (biasanya dengan bayi)
8,Ageh,beri
9,Agham-agham,ikatan atau pegangan yg asal asalan
10,Aghi,kemarin; waktu yg sudah lewat
11,Aghok,hasut; provokasi
12,Agu,kocok; aduk supaya menyatu
13,Ajang,milik; kepunyaan
14,Ajat,ingin; hasrat
15,Ajok,tiru
16,Akor,cocok; harmonis
17,Alahai,aduhai (biasanya untuk mengekspresikan kekaguman)
18,Alak-alak,remaja usia kira-kira 11-15 tahun
19,Alang,sebutan untuk anak ketiga
20,Aleh,seandainya; mana tahu
21,Alip,"permainan kanak-kanak, misalnya alip berondok, alip jongkok, dan lain sebagainya"
22,Alip-alip,sebutan untuk buku belajar membaca huruf Arab hingga ke Juz Amma
23,Alu,kayu penumbuk untuk menumbuk padi
24,Ambai,jaring untuk menangkap ikan atau udang yg dipasang di tengah arus air dengan 2 tiang
25,Ambe,saya; aku
26,Ambek,ambil
27,Ambek pakan,ambil hati; menunjukkan seolah empati
28,Ampan,terpental krn mengenai sesuatu
29,Andak,sebutan untuk anak kelima
30,Andam,memotong atau mencukur sedikit rambut mempelai sebelum bersanding; cukur surai
31,Andong,Nenek
32,Angah,sebutan untuk anak kedua
33,Angek,panas hati; iri
34,Anggah,pamer kekuatan atau kekayaan
35,Anggau,makhluk halus sejenis genderuwo
36,Anggok-anggai,kondisi mengangguk karena mengantuk; terkantuk
37,Angleh,cocok; serasi dalam hal pekerjaan atau kemitraan dalam kerja
38,Antah,kulit padi dalam tumpukan beras
39,Antok,bentur
40,Aok,iya; ya; iyalah
41,Apam balik,Martabak manis
42,Api-api,benalu
43,Asak,dorong; desak
44,Atak,bagi-bagi
45,Atog,atau
46,Atok,Orang tua dari ayah atau ibu
47,Awah,sistem bagi hasil antara pemilik dan petani
48,Awak,diri pribadi; diriku; dirimu
49,Ayak,serak; buyar
50,Ayoh,ayah
51,Ayong,tutur anak pertama (sulong; long; yong; iyong)
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
