,B a h a s a   I n d o n e s i a,B a h a s a   M e l a y u   J a m b i
0,Saya,Sayo/ kami
1,Kamu,Kau/ awak
2,Dia,Dio
3,Kita,Kito
4,Kalian,Kamu
5,Apa,Apo
6,Bagaimana,Kek mano
7,Kenapa,Ngapo
8,Tidak ada,Dakdo/ daktik
9,Nanti,Agek
10,Semua,Galo
11,Lihat,Tengok
12,Mau,Nak
13,Sangat,Nian
14,Bagus,Elok
15,Terserah,Basing
16,Pintar,Padek
17,Bodoh,Bengak
18,Kerja,Gawe
19,Air,Aek
20,Sendiri,Dewek
21,Kakak Laki-laki,Abang
22,Kakak Perempuan,Ayuk
23,Anak Kecil,Budak Kecik
24,Teman,Kanti
25,Besar,Besak
26,Kecil,Kecik
27,Pergi,Pegi
28,Pulang,Balik
