,M e l a y u   M a l a y s i a,A r t i
0,ye (ya),ya
1,Acheh,Aceh (etnis maupun bahasa)
2,ais,es
3,almari,lemari
4,amik/amek,ambil
5,apsal (apa pasal),mengapa
6,awak,Anda
7,awek/pompuan,pacar (perempuan)
8,ayat,kata/perkataan
9,balak/pakwe,pacar (lelaki)
10,baloi/berbaloi,layak; pantas
11,bandar,kota
12,bapuk/pondan,banci
13,basikal,sepeda
14,beg,tas; ransel
15,bekas,wadah
16,betik,pepaya
17,bilik,kamar; ruang
18,bilik air,kamar mandi
19,bilik darjah,ruang kelas
20,blah,berpencar
21,bleh/leh (boleh),bisa
22,budak,anak
23,cakap,ngomong
24,chiku,sawo
25,China,Cina
26,chun/lawa,cantik
27,chane/chamne (macam mana),bagaimana
28,dewan,aula
29,divisyen,divisi
30,dorang/derang,mereka
31,ehwal,perihal
32,ejen,agen
33,aksi,aksi
34,emosi,emosi
35,epal,apel
36,fiksyen,fiksi
37,gam,lem
38,garaj,garasi
39,gi/pegi,pergi
40,haiwan,hewan
41,hospital,rumah sakit
42,ibu pejabat/ibu ofis,kantor pusat
43,imej,gambar
44,Inggeris,Inggris
45,injeksyen,injeksi
46,jane/penjane (penjana),hidup/penghidup
47,jantina,jenis kelamin; gender
48,Jepun,Jepang
49,jer/je (sahaja),aja
50,jerung,hiu
51,jom,ayo
52,kaki --,tukang --
53,kamceng,akrab
54,kapal terbang,pesawat
55,kat (dekat),di
56,katil,kasur
57,khabar,berita
58,kecik/kecil,kecil
59,"kerabu/nasi kerabu (diserap dari bahasa Thai: ครับ, khrạb)",khao yam (makanan dari Thailand)
60,kek,kue
61,kene (kena),harus
62,kete/kerete (kereta),mobil
63,kes,kasus
64,kicap,kecap
65,ko (kau),kamu
66,kolej,perguruan tinggi
67,konvokesyen,wisuda (kuliah)
68,korapsyen,korupsi
69,kucing,kucing
70,kusyen,cushion (makeup)
71,lai,pir
72,lalu,lewat
73,lapangan terbang,bandara
74,lori/trak,truk
75,makmal,laboratorium
76,meh (mari),mari
77,mesej,pesan
78,minyak masak,minyak goreng
79,misi,misi
80,muzium,museum
81,negeri,provinsi; negara bagian
82,nenas/nanas,nanas
83,ofis/pejabat,kantor
84,opsyen,pilihan
85,opsyenal,opsional
86,oren,jeruk
87,pastu (selepas itu),setelah itu
88,pasu,pot
89,pekene (apa kena),suguhan
90,pempetisyen,petisiwan
91,pemadam,penghapus
92,pembaris,penggaris
93,pengerusi,ketua
94,percume (percuma),gratis
95,petisyen,petisi
96,pokok,pohon
97,polis,polisi
98,posyen,ramuan
99,poyo/selenge,buruk
100,profesyen/profesion,profesi
101,pusing,putar; belok
102,pusing-pusing,berkeliling-keliling
103,reti,tahu
104,rosak,rusak
105,saiz,ukuran
106,segera,instan
107,seksyen,bagian
108,semalam,kemarin
109,sembang,ngobrol
110,senang,mudah; gampang
111,skodeng,mengintai
112,sos,saus
113,stesen,stasiun
114,subjek,mata pelajaran
115,subseksyen,subbagian
116,substesen,cabang
117,sudu,sendok
118,syarikat,serikat
119,tahniah,selamat
120,takleh/tokleh (tak boleh),tidak bisa
121,takyah (tak payah),tidak perlu
122,teksi,taksi
123,televisyen,televisi
124,tembikai,semangka
125,tembikai susu,melon
126,tempatan,lokal
127,tension,tensi
128,tilam,Ranjang
129,tradisi,tradisi
130,tradisional,tradisional
131,tuisyen,biaya (perkuliahan)
132,ubat,obat
133,ubat gigi,odol; pasta gigi
134,agama/ugama,agama
135,universiti,universitas
136,visi,visi
137,tak/tidak,tidak
138,zon,zona
139,zoo/taman haiwan,kebun binatang
