,M e l a y u   R i a u   B a k u,D i a l e k   K u a n t a n,D i a l e k   P a n g a r a i a n,D i a l e k   P e s i s i r,D i a l e k   R o k a n   H i l i r,D i a l e k   S i a k - P e k a n b a r u,T e r j e m a h a n
0,Awak,',',Awak,',Awak,Diri
1,Balek,',',Baleik,',Balek,Pulang
2,Betol,',',Betol,',Beno,Benar
3,Besak,',',Besa,',Beso,Besar
4,Budak,',',Budak,',Budak,Anak
5,Kecik,',',Kecik,',Kecik,Kecil
6,Kedai,',',Kedai,',Kedai,Toko
7,Lawa,',',Lawe,',Lawo,Cantik
8,Macam,',',Macam,',Macam,Seperti/Bagai
9,Macam mane (camane),',',Macam mane (cemane),',Macam mano (camano),Bagaimana (gimana)
10,Makcik/Makwe,',',Makcik/Makwe,',Makcik/Makwo,Tante/Bibi
11,Miang,',',Miang,',Miang,Gatal
12,Mike,',',Mike,',Miko,Kamu
13,Nak,',',Nak,',Nak,Mau/Ingin
14,Peda,',',Pede,',Pedo,Agak pahit
15,Pegi,',',Pegi,',Pegi,Pergi
16,Pekan (Pasar),',',Pasa,',Paso,Pasar
17,Sahaye (Saye),',',Saye,',Sayo,Aku
18,Sebayan,',',Sebayan,',Sebayan,Cantengan
