,0,1,2,3,4,5,6,7,8,9
0,Indonesia,apa,laut,lihat,kucing,pergi,ular,keras,manis,lutut
1,Malaysia,apa,laut,lihat,kucing,pergi,ular,keras,manis,lutut
2,Melayu Palembang,apo,laot,jingok/selek,koceng,pegi,ular,keras,manes,lutut
3,Melayu Jambi,apo,laut,tengok,kucing,pegi,ular,keras,manis,lutut
4,Melayu Pontianak,ape,laot,liat,kucing,pegi,ulagh,keghas,manes,lutut
5,Banjar,apa,laut,liat,kucing,tulak,ular,karas,manis,lintuhut/tu'ut
6,Minangkabau,apo,laui,liai/calia,kuciang,pai,ula,kareh,manih,lutui
7,Kerinci (Dialek Siulak),apo,laut,"kima, celik, kileh",kucek,pegi,ula,kereh,manih,lutut
8,Pekal,apo,lawik,liek,kucing,lalui,ulah,kehas,manis,lutuik
9,Kelantan-Pattani,penamo,lauʔ,lihaʔ,kucing,gi,ula,kerah,manih,lutuʔ
10,Melayu Setul (Satun),penamɑ,lawt,lihayt,kucin,pi,ulaq,keghaih,manih,lutuy
11,Besemah,ape,laot,kinak,kuceng,pegi,ulagh,keghas,manes,lutut
12,Ogan,pedame,laut,"kinak, kelikh",kuceng,"darau, pegi",ulakh,kekhas,manes,lentuat
13,Teringin,apa,laut,liat,kucing,pogi,ular,koras,manis,lentuhut
