,0,1,2,3,4,5,6,7,8
0,Latin,Prancis,Italia,Spanyol,Oksitan,Katalan,Portugis,Rumania,Indonesia
1,clavis,clef/clé,chiave,llave,clau,clau,chave,cheie,kunci
2,"nox, noctis",nuit,notte,noche,nuèit/nuèch,nit,noite,noapte,malam
3,cantare,chanter,cantare,cantar,cantar,cantar,cantar,cânta,menyanyi
4,capra,chèvre,capra,cabra,cabra,cabra,cabra,capra,kambing
5,lingua,langue,lingua,lengua,lenga/lengua,llengua,língua,limba,bahasa
6,platea,place,piazza,plaza,plaça,plaça,praça,piata,lapangan
7,"pons, pontis",pont,ponte,puente,pònt,pont,ponte,punte,jembatan
8,ecclesia (juga basilica),église,chiesa,iglesia,glèisa,església,igreja,biserica,gereja
9,caseus (Latin Rakyat formaticum),fromage,formaggio,queso,formatge,formatge,queijo,cas,keju
