,t e r j e m a h a n,f r a s a,I P A
0,Portugis:,português,/poɾtu'ges/
1,Brasil:,brasil,/bɾaˈziw/
2,halo:,olá,/o'la/
3,selamat tinggal:,adeus,/a'dews/
4,tolong:,por favor,/poɾ fa'voɾ/
5,terima kasih (p); terima kasih (w):,obrigado; obrigada,/obɾi'gadu/; /obɾi'gadɐ/
6,maaf:,desculpe,/dʒis'kuwpi/
7,yang itu:,aquele; aquela,/a'keli/; /a'kɛla/
8,berapa?:,quanto,/'kwãtu/
9,ya:,sim,/'sĩ/
10,tidak:,não,/'nãw̃/
11,Saya tidak mengerti:,não entendo,/nãw̃ ẽ'tẽdu/
12,di mana kamar kecilnya?:,Onde fica o banheiro,/õdi fika u ba'ɲejɾu/
