,A n g k a,P r o t o - J a p o n i k [ 2 0 ],J e p a n g,J e p a n g,R y u k y u,R y u k y u,R y u k y u,J a p o n i k   S e m e n a n j u n g † [ 5 ]
0,1,*pitə,pi1to2,hito,tii-,pusu-,tʼu-,
1,2,*puta,puta,futa,taa-,huta-,tʼa-,
2,3,*mi(t)-,mi1,mi,mii-,mii-,mii-,*mit
3,4,*jə,yo2,yo,juu-,juu-,duu-,
4,5,*itu,itu,itsu,ici-,ici-,ici-,*yuci
5,6,*mu(t)-,mu,mu,muu-,muu-,muu-,
6,7,*nana,nana,nana,nana-,nana-,nana-,*nanən
7,8,*ja,ya,ya,jaa-,jaa-,daa-,
8,9,*kəkənə,ko2ko2no2,kokono,kukunu-,(ku)kunu-,kugunu-,
9,10,*təwə,to2wo,tō,tuu,tuu-,tuu,*tək
