,H u r u f   b e s a r,H u r u f   k e c i l,N a m a,B u n y i,T r a n s k r i p s i
0,A,а,a,/a/,a
1,Б,б,be,/b/,b
2,B,в,"ve, we","/v, w/",v
3,Г,г,"ge, ghe","/ɡ, ɣ/","g, gh"
4,Д,д,de,/d/,d
5,E,е,ye,"/je, e/","ye, e"
6,Ё,ё,yo,/jo/,yo
7,Ж,ж,zhe,/ʐ/,zy
8,З,з,ze,/z/,z
9,И,и,i,/i/,i
10,Й,й,i-kratkoye,/i̯/,"y, i"
11,К,к,ka,/k/,k
12,Л,л,el,"/l, ɫ/",l
13,M,м,em,/m/,m
14,H,н,en,/n/,n
15,O,о,o,/o/,o
16,П,п,pe,/p/,p
17,P,р,er,/r/,r
18,C,с,es,/s/,s
19,T,т,te,/t/,t
20,У,у,u,/u/,u
21,Ф,ф,ef,/f/,f
22,X,х,"kha, ha","/x, h/","kh, h"
23,Ц,ц,tse,/t͡s/,ts
24,Ч,ч,che,/t͡ɕ/,c
25,Ш,ш,sha,/ʂ/,sy
26,Щ,щ,shcha,/ɕ/,syc
27,Ъ,ъ,tvyordiy znak,,─
28,Ы,ы,yer,/ɨ/,y
29,Ь,ь,myagkiy znak,/ʲ/,'
30,Э,э,e,/e/,e
31,Ю,ю,yu,/ju/,yu
32,Я,я,ya,/ja/,ya
