,K o s a k a t a,S i s i l i a,P e n g u c a p a n
0,untuk membuat kesan yang baik,fà[ci]ri na beḍḍa fi[g]ùra,ˈfaː(ʃɪ)ɾɪ na bˈbɛɖːa fɪˈ(ɡ)uːɾa
1,anggur (minuman),vinu,ˈviːnʊ
2,pria,masculu,
3,wanita,fìmmina,ˈfimmɪna
4,sisi lain,ḍḍabbanna,ɖːa bˈbanna
5,juga,mirè,
6,sini,ḍḍa,ɖːa
7,sana,ḍḍocu,ˈɖːɔːkʊ
8,di mana,unni,ˈunnɪ
9,anda,vossìa,vɔsˈsiːa
10,hati-hati!,accura!,akˈkuːɾa
11,dia (laki-laki),iḍḍu,ˈiɖːʊ
12,dia (perempuan),iḍḍa,ˈiɖːa
13,"dulu, pernah",tannu,ˈtanːu
14,"yang bayar sebelum lihat barang kena tipu(secara harfiah: ""siapa yang membayar sebelumnya, makan ikan yang bau"")","cu paja prima, mancia li pisci fitùsi",ˌku ˈpaːja ˈpɾiːma ˈmantʃa lɪ ˈpiʃʃɪ fɪˈtuːsɪ
