,N o m o r,B a h a s a   I n d o n e s i a,B a h a s a   T a w o y a n
0,1.0,air,danum
1,2.0,akar,wakat
2,3.0,alir,epes
3,4.0,anjing,koko
4,5.0,angin,riwut
5,6.0,api,apui
6,7.0,baik,buen
7,8.0,balik,waleng
8,9.0,banyak,deo
9,10.0,baru,boi
10,11.0,batu,batu
11,12.0,benar,bujur; uyuh
12,13.0,berat,doyat
13,14.0,besar,gaya
14,15.0,beri,okoi
15,16.0,binatang,setua
16,17.0,buah,bua
17,18.0,bunga,bunge
18,19.0,buruk,boto
19,20.0,bunuh,bunu
20,21.0,burung,pepulu
21,22.0,cepat,gelek; laju
22,23.0,capai,hampe; empe
23,24.0,cari,elo
24,25.0,cantik,bungas; segah
25,26.0,cuci,bui
26,27.0,daging,isi
27,28.0,darah,daya
28,29.0,datang,sawi
29,30.0,daun,daon
30,31.0,dekat,dini; dena; tede
31,32.0,dengar,dinga
32,33.0,dingin,rengin
33,34.0,jalan,jalan
34,35.0,jantung,lepusu
35,36.0,jatuh,lotu; jatu
36,37.0,jauh,oro
37,38.0,ekor,okui
38,39.0,emas,amas
39,40.0,enak,mangat meraweng
40,41.0,dorong,juju
41,42.0,duduk,tuet
42,43.0,garam,serau
43,44.0,gigi,kukut
44,45.0,gunung,gunung
45,46.0,gigit,keket
46,47.0,hantam,hantam
47,48.0,hati,ate;aseng
48,49.0,hijau,jereu
49,50.0,hidup,bolum
50,51.0,hidung,urung
51,52.0,hitam,metem
52,53.0,hujan,uran
53,54.0,hutan,juet;jauk; alas
54,55.0,ikan,esa
55,56.0,ikat,suruk
56,57.0,kaki,poo
57,58.0,kanan,sanan
58,59.0,kata,ulek
59,60.0,kepala,utek
60,61.0,kering,meang
61,62.0,kecil,kedi
62,63.0,kulit,upak
63,64.0,kiri,sei
64,65.0,kotor,daat
65,66.0,kuning,lemit
66,67.0,laut,tasik
67,68.0,lebar,lehoi; gaya
68,69.0,leher,diung
69,70.1,lempar,panting
70,71.0,lidah,lola
71,72.0,lihat,teau
72,73.0,licin,koles
73,74.0,lurus,mekoreng; moreng
74,75.0,main,riek
75,76.0,makan,kuman
76,77.0,malam,doyeng
77,78.0,mata,mate
78,79.0,matahari,matenolo
79,80.0,mati,mate
80,81.0,marah,sangit; iket
81,82.0,minta,onok
82,83.0,mohon,onok
83,84.0,minum,isep
84,85.0,mulut,buwa
85,86.0,nama,aran
86,87.0,napas,sengat
87,88.0,nyala,dolan
88,89.0,nyanyi,tinga
89,90.0,panas,layeng; melayeng
90,91.0,panjang,panyang; atos
91,92.0,pasir,jone
92,93.0,pegang,teken
93,94.0,pendek,udok
94,95.0,perut,butung
95,96.0,pikir,pikir; tanguh
96,97.0,pohon,batang
97,98.0,potong,potek
98,99.0,punggung,popoi
99,100.0,putih,bura
100,101.0,rambut,balo
101,102.0,rumput,rikut
102,103.0,sayap,ekap
103,104.0,sedikit,doho
104,105.0,siang,dolo
105,106.0,sempit,solet
106,197.0,semua,ohah; uras
107,108.0,sungai,sunge
108,109.0,tajam,tarem
109,110.0,tahu,toan;diuh
110,111.0,tahun,taun
111,112.0,takut,takut
112,113.0,tarik,jujut
113,114.0,telinga,kelinge
114,115.0,tertawa,koka
115,116.0,tidak,awe
116,117.0,tidur,turui
117,118.0,tikam,towek
118,119.0,tipis,lips
119,120.0,tua,tuha
120,121.0,tebal,kapar
121,122.0,tumpul,kaler
122,123.0,ular,nipe
