,B a h a s a,C a t a t a n
0,Bahasa Abinomn,Dituturkan di Papua.
1,Bahasa Ainu,"Bahasa terancam, sedikit dituturkan di utara Jepang."
2,Bahasa Enggano,"ialah bahasa isolat, namun para ahli mempercayai bahwa kemungkinan kecil Bahasa ini termasuk ke dalam rumpun bahasa Austronesia. Bahasa Enggano tidak memiliki kerabat di daerah sekitarnya dan wilayah penyebaran hanya pada pulau Enggano."
3,Bahasa Basque,"Tidak ada kerabat yang dikenal, ditemukan di wilayah Basque di Prancis dan Spanyol. Aquitanian umumnya dianggap sebagai pendahulu dari Basque. Beberapa ahli bahasa telah menyatakan kesamaan dengan berbagai bahasa Kaukasus. Ahli bahasa lainnya telah mengusulkan sehubungan dengan Bahasa Iberic."
4,Birale (Ongota),Sering dianggap sebagai Bahasa Afroasiatik
5,Bahasa Burushaski,Diucapkan di utara Pakistan
6,Bahasa Elamit,Bahasa yang sudah punah dari Kekaisaran Elamit; diduga berkerabat dengan bahasa Drawida
7,Bahasa Etruska,"Bahasa bangsa Etruska purba di barat laut Italia, hingga kini belum dipahami dengan baik"
8,Hadza,Cenderung dikategorikan sebagai cabang luar Bahasa Khoisan
9,Bahasa Iberik,"Ada kebetulan leksikal dengan bahasa Basque, tetapi sulit untuk mengetahui apakah mereka memang serumpun."
10,Jalaa,Bahasa yang hampir punah yang dituturkan di timur laut Nigeria.[1]
11,Bahasa Jepang,Punya hubungan dengan Bahasa Korea. Banyak ahli bahasa yang mengusulkan bahasa Jepang dimasukkan ke dalam kelompok bahasa Altai.
12,Bahasa Kalto,(juga disebut Nahali) bahasa yang hampir punah di India barat.
13,Bahasa Ket,Tidak punya kerabat. Beberapa ahli bahasa berusaha menunjukkan bukti hubungan dengan Bahasa Burushaski.
14,Bahasa Korea,Punya hubungan dengan bahasa Jepang. Banyak ahli bahasa yang mengusulkan bahasa Korea dimasukkan ke dalam kelompok bahasa Altai bersama bahasa Jepang.
15,Bahasa Kwadi,Cenderung dikategorikan sebagai cabang luar Bahasa Khoisan
16,Bahasa Laal,Tidak diklasifikasikan; sering kali dianggap kelompok Bahasa Niger-Kongo
17,Bahasa Mekejir (Shabo),Sering dianggap termasuk Bahasa Nilo-Sahara
18,Bahasa Meroitik,Bahasa yang sudah punah dari kerajaan purba Meroe (Kush)
19,Bahasa Nivkh,atau Gilyak. Bahasa Paleosiberia dituturkan di cekungan Sungai Amur dan di pulau Sakhalin; Bahasa Ainu juga dituturkan di Sakhalin.
20,Bahasa Oropom,Mungkin tidak ada.
21,Bahasa Pirah?,Berkerabat dengan bahasa yang baru saja punah. Satu-satunya bahasa yang diketahui tidak memiliki terminologi untuk angka; juga satu-satunya bahasa yang tidak memiliki perulangan dalam tata bahasanya.
22,Sandawe,Cenderung dikategorikan sebagai cabang luar Bahasa Khoisan
23,Bahasa Sumeria,Bahasa bangsa Sumeria purba yang telah lama punah.
24,Taiap,
25,Tarascan,Diduga berkerabat dengan keluarga bahasa di Ekuador
26,Ticuna,
27,Bahasa Yuchi,Diduga ada hubungan dengan Bahasa Siouan
28,Yukaghir,Merupakan salah satu bahasa yang berkaitan dengan rumpun Paleosiberia.[2]
