,M a s k a p a i,T u j u a n,C o n c o u r s e ( s )
0,Air Canada Express,Toronto–Pearson,F
1,Air France,Paris–Charles de Gaulle,"E, F"
2,Alaska Airlines,Seattle/Tacoma,D
3,American Airlines,"Chicago–O'Hare, Dallas/Fort Worth, Los Angeles, Miami",T
4,American Eagle,"Chicago–O'Hare, Miami, New York–LaGuardia",T
5,British Airways,London–Heathrow,"E, F"
6,Delta Air Lines,"Akron/Canton, Albany (NY), Albuquerque, Allentown/Bethlehem, Appleton, Augusta (GA), Asheville (NC), Austin, Baltimore, Baton Rouge, Birmingham (AL), Bloomington/Normal, Boston, Buffalo, Charleston (SC), Charleston (WV), Charlotte, Charlottesville,[2] Chattanooga, Chicago–Midway, Chicago–O'Hare, Cincinnati, Cleveland, Colorado Springs, Columbia (SC), Columbus (OH), Dallas-Love,[3] Dallas/Fort Worth, Dayton, Daytona Beach, Denver, Des Moines, Detroit, El Paso, Evansville, Fayetteville/Bentonville, Fayetteville (NC), Flint, Fort Lauderdale, Fort Myers, Fort Walton Beach, Gainesville, Grand Rapids, Greensboro, Greenville/Spartanburg, Gulfport/Biloxi, Harrisburg, Hartford, Honolulu, Houston–Hobby, Houston-Intercontinental, Huntsville, Indianapolis, Jackson (MS), Jacksonville (FL), Kansas City, Key West, Knoxville, Lafayette (LA), Las Vegas, Lexington, Little Rock, Los Angeles, Louisville, Madison, Manchester (NH), Melbourne (FL), Memphis, Miami, Milwaukee, Minneapolis/St. Paul, Mobile, Moline/Quad Cities, Nashville, New Orleans, New York–JFK, New York-LaGuardia, Newark, Norfolk, Oakland (mulai October 1, 2015),[4] Oklahoma City, Omaha, Orange County, Orlando, Panama City (FL), Pensacola, Philadelphia, Phoenix, Pittsburgh, Portland (ME), Portland (OR), Providence, Raleigh/Durham, Richmond, Roanoke, Rochester (NY), Sacramento, St. Louis, Salt Lake City, San Antonio, San Diego, San Francisco, San Jose (CA), San Juan, Sarasota, Savannah, Seattle/Tacoma, Shreveport,[2] Syracuse, Tallahassee, Tampa, Tri-Cities (TN), Tucson, Tulsa, Washington-Dulles, Washington-National, West Palm Beach, Wichita, Wilmington (NC)Musiman: Anchorage,[5] Billings, Bozeman, Burlington (VT), Eagle/Vail, Hayden/Steamboat Springs, Jackson Hole, Kalispell, Missoula,[6] Montrose/Telluride, Myrtle Beach, Ontario (CA), Spokane, Wilkes-Barre/Scranton","T, A, B, C, D, E, F"
7,Delta Air Lines,"Amsterdam, Aruba, Barbados, Belize City, Bermuda, Bogotá, Bonaire, Brasília (ends December 1, 2015),[7] Brussels, Buenos Aires–Ezeiza, Cancún, Caracas, Cartagena (mulai December 19, 2015),[8] Cozumel, Dubai–International, Düsseldorf, Frankfurt, Grand Cayman, Guadalajara, Guatemala City, Johannesburg–O. R. Tambo, Kingston, Lagos, Liberia (CR), Lima, London–Heathrow, Madrid, Managua, Medellín–Córdova (mulai December 19, 2015),[8] Mexico City, Montego Bay, Montréal–Trudeau, Munich, Nassau, Panama City, Paris-Charles de Gaulle, Port–au-Prince, Providenciales, Puerto Vallarta, Punta Cana, Quito, Rio de Janeiro–Galeão, Roatán, Rome-Fiumicino, St. Lucia, St. Maarten, St. Thomas, San José (CR), San José del Cabo, San Pedro Sula, San Salvador, Santiago (Chile), Santo Domingo-Las Américas, São Paulo-Guarulhos, Stuttgart, Tegucigalpa, Toronto-Pearson, Tokyo–NaritaMusiman: Antigua, Barcelona, Dublin, Grenada, Milan–Malpensa, Santiago de los Caballeros (mulai December 19, 2015), St. Croix, St. Kitts, Vancouver, Venice-Marco Polo, ZürichCharter: Havana[9]","T, A, E, F"
8,Delta Connection,"Akron/Canton, Albany (GA), Alexandria, Allentown/Bethlehem, Appleton, Asheville, Augusta (GA), Baton Rouge, Bloomington/Normal, Brunswick, Cedar Rapids/Iowa City, Charleston (WV), Charlottesville, Chattanooga, Columbia (SC), Columbus (GA), Columbus (MS), Dothan, Evansville, Fayetteville/Bentonville, Fayetteville (NC), Flint, Fort Smith, Fort Walton Beach, Fort Wayne, Gainesville, George Town/Great Exuma Island, Green Bay, Greensboro, Greenville/Spartanburg, Gulfport/Biloxi, Harrisburg, Huntsville, Jackson (MS), Jacksonville (NC), Key West, Killeen/Fort Hood, Knoxville, Lafayette, León/Del Bajío, Lexington, Lincoln, Little Rock, Madison, Mobile, Moline/Quad Cities, Monroe, Monterrey, Montgomery, Montréal–Trudeau, Myrtle Beach, New Bern, Newport News, Oklahoma City, Omaha, Peoria, Roanoke, Rochester (MN) , Shreveport, Sioux Falls, South Bend, Springfield/Branson, Tallahassee, Toronto–Pearson, Tri-Cities (TN/VA), Tulsa, Valdosta, White Plains, Wichita, Wilkes-Barre/Scranton, Wilmington (NC)Musiman: Albany (NY), Aspen, Belize City, Burlington (VT), State College (PA), Daytona Beach, Elmira (NY), Erie (PA), Fargo (ND), Freeport, Grand Rapids, Guadalajara, Halifax, Kalamazoo, Lansing, Marsh Harbour (mulai December 19, 2015),[10] Montrose/Telluride, North Eleuthera (mulai December 19, 2015),[10] Ottawa, Providenciales, Saginaw, Traverse City","C, D, E, F"
9,Frontier Airlines,"Austin, Chicago–O'Hare, Cleveland, Denver, Las Vegas, Los Angeles, Miami, New York-LaGuardia, New Orleans, Orlando, Philadelphia, Trenton, Washington–DullesMusiman: Cincinnati, Indianapolis, Minneapolis/St. Paul",D
