,M a s k a p a i,T u j u a n
0,Adria Airways,Seasonal: Ljubljana
1,Aer Lingus Regional operated by Aer Arann,Waterford
2,Blue Air,"Bacau, Bucharest-Henri Coandă"
3,EasyJet,"Aberdeen, Alicante, Amsterdam, Barcelona, Belfast-International, Berlin-Brandenburg [begins 17 March 2013], Berlin-Schönefeld [ends 16 March 2013], Bordeaux, Budapest, Dortmund, Edinburgh, Faro, Geneva, Glasgow-International, Hamburg, Inverness, Istanbul-Sabiha Gökçen, Lisbon, Madrid, Málaga, Milan-Malpensa, Nice, Paphos, Paris-Charles de Gaulle, Reykjavik-Keflavik, Sharm el-Sheikh, Tel Aviv-Ben Gurion, Zürich Seasonal: Corfu, Grenoble, Heraklion, Ibiza, Minorca, Montpellier, Palma de Mallorca, Pisa, Salzburg"
4,El Al,Tel Aviv-Ben Gurion
5,Flybe,"Isle of Man, Jersey"
6,Monarch,"Alicante, Gibraltar, Lanzarote, Larnaca, Málaga, Munich [begins 21 September 2012], Rome-Fiumicino, Tenerife-South Seasonal: Bodrum, Corfu, Dalaman, Faro, Minorca, Palma de Mallorca Chartered Seasonal: Ponta Delgada, Zakynthos"
7,Ryanair,"Béziers, Bratislava, Dublin, Fuerteventura, Gran Canaria, Kaunas, Kerry, Knock, Lanzarote, Malta, Marrakech, Nîmes, Rzeszów, Tallinn, Tenerife-South Seasonal: Alghero-Fertilia, Girona, Murcia, Reus, Trapani"
8,Thomson Airways,"Gran Canaria, Lanzarote, Madeira, Paphos, Sharm el-Sheikh, Tenerife-South Seasonal: Antalya, Bodrum, Bourgas, Corfu, Dalaman, Enfidha, Faro, Fuerteventura, Heraklion, Ibiza, Kefalonia, Larnaca, Málaga, Malta, Minorca, Palma de Mallorca, Reus, Rhodes, Salzburg, Thessaloniki, Zakynthos"
9,Wizz Air,"Belgrade, Brno, Bucharest-Henri Coandă, Bourgas, Budapest, Cluj-Napoca, Debrecen, Gdansk, Katowice, Kiev-Zhulyany, Ljubljana [begins 30 October 2012], Lódz, Lublin [begins 18 December], Poznan, Prague, Riga, Skopje, Sofia, Târgu Mures, Timisoara, Varna, Vilnius, Warsaw-Chopin [ends 17 July 2012], Warsaw-Modlin [begins 18 July 2012], Wroclaw Seasonal: Split"
