,M a s k a p a i,T u j u a n
0,AtlasJet,"Antalya, Istanbul-Atatürk"
1,Aurigny Air Services,"Guernsey, Jersey"
2,Cyprus Airways,Larnaca [ends 1 September 2012]
3,EasyJet,"Alicante, Amsterdam, Asturias, Barcelona, Belfast-International, Bilbao, Cagliari, Copenhagen, Edinburgh, Glasgow-International, Ljubljana, Lyon, Málaga, Munich, Naples, Nice, Palma de Mallorca, Prague, Tallinn [ends 26 October 2012] Seasonal: Bodrum, Dalaman, Dubrovnik, Geneva, Grenoble, Ibiza, Split"
4,Germanwings,"Cologne/Bonn, Hanover, Stuttgart"
5,Iceland Express operated by Holidays Czech Airlines,Seasonal: Reykjavík-Keflavík
6,Onur Air,Seasonal: Antalya
7,Pegasus Airlines,Istanbul-Sabiha Gökçen Izmir Seasonal: Bodrum
8,Ryanair,"Aarhus, Alghero, Alicante, Ancona, Barcelona, Bari, Bergerac, Berlin-Brandenburg [begins 17 March 2013],[3] Berlin-Schönefeld [ends 16 March 2013], Biarritz, Billund, Bologna, Bratislava, Bremen, Brindisi, Brno, Budapest, Bydgoszcz, Carcassonne, Corfu, Cork, Derry, Dinard, Dublin, Eindhoven, Faro, Fez, Frankfurt-Hahn, Fuerteventura, Gdansk, Genoa, Girona, Gothenburg-City, Gran Canaria, Graz, Haugesund, Karlsruhe/Baden-Baden, Katowice, Kaunas, Kerry, Klagenfurt, Knock, Kraków, La Rochelle, Lamezia Terme, Lanzarote, Leipzig/Halle, Limoges, Linz, Lódz, Lourdes, Madrid, Málaga, Malmö, Marrakech, Marseille, Memmingen, Milan-Bergamo, Murcia, Oslo-Rygge, Oslo-Torp, Palermo, Palma de Mallorca, Parma, Paphos, Perugia, Pescara, Pisa, Plovdiv, Poitiers, Porto, Poznan, Riga, Rimini, Rodez, Rome-Ciampino, Rzeszów, Santiago de Compostela, Salzburg, Santander, Seville, Shannon, Stockholm-Skavsta, Stockholm-Västerås, Szczecin, Tampere, Tenerife-South, Thessaloniki, Tours, Trieste, Turin, Turku, Valencia, Venice-Treviso, Valladolid, Verona, Vilnius, Warsaw-Modlin [begins 16 July 2012], Weeze, Wroclaw, Zaragoza Seasonal: Almería, Chania, Grenoble, Ibiza, Jerez de la Frontera, Kos, Malta, Patras/Araxos, Perpignan, Pula, Reus, Rhodes, Rijeka [begins 4 July 2012], Toulon, Zadar"
9,Thomas Cook Airlines,"Seasonal: Antalya, Bodrum, Dalaman, Enfidha, Fuerteventura, Gran Canaria, Ibiza, Izmir, Kos, Lanzarote, Minorca, Palma de Mallorca, Sharm el-Sheikh, Tenerife-South, Zakynthos"
10,Thomson Airways,"Lanzarote, Sharm el-Sheikh, Tenerife-South Seasonal: Antalya, Corfu, Dalaman, Enfidha, Faro, Fuerteventura, Gran Canaria, Grenoble, Heraklion, Ibiza, Innsbruck, Kefalonia, Larnaca [ends 31 October 2012], Minorca, Palma de Mallorca, Paphos, Rhodes, Salzburg, Turin, Zakynthos"
11,Titan Airways,"Seasonal: Bergen, Calvi, Chambéry, Dalaman, Figari, Grenoble, Lourdes, Sion"
12,WOW air,Reykjavík-Keflavík
