,M a s k a p a i,T u j u a n,T e r m i n a l
0,Adria Airways,Seasonal: Ljubljana,3
1,Aegean Airlines,Kefalonia[3],2
2,Aer Lingus,Dublin,1
3,Aer Lingus Regional operated by Aer Arann,"Cork, Shannon, Waterford",1
4,Airblue,"Islamabad, Istanbul-Sabiha Gökçen[4]",2
5,Air France,Paris-Charles de Gaulle,3
6,Air France operated by Cityjet,Antwerp,3
7,Air Malta,Malta,2
8,Air Transat,"Calgary, Toronto-Pearson Seasonal: Vancouver",1
9,American Airlines,"Chicago-O'Hare, New York-JFK",3
10,AtlasJet,Seasonal: Antalya,1
11,Aurigny Air Services,Guernsey,1
12,Austrian Airlines,Seasonal: Innsbruck,1
13,BH Air,"Seasonal: Bourgas, Dubrovnik, Sofia, Varna",1
14,Belavia,Seasonal: Minsk,2
15,Biman Bangladesh Airlines,Dhaka,2
16,BMI Regional,"Aberdeen, Edinburgh, London-Heathrow, Lyon",3
17,British Midland International,London-Heathrow [ends 26 June 2012],3
18,British Airways,"London-Gatwick, London-Heathrow",3
19,British Airways operated by Sun Air of Scandinavia,"Billund, Gothenburg-Landvetter [begins 27 August 2012]",3
20,BA Cityflyer,"Charter: Cagliari, Ibiza, Málaga, Olbia, Palma de Mallorca",3
21,Blue Islands,Jersey,1
22,Brussels Airlines,Brussels,3
23,Brussels Airlines operated by Flybe,Brussels,3
24,Brussels Airlines operated by Tyrolean Airways,Brussels,3
25,Croatia Airlines,Seasonal: Pula,2
26,Delta Air Lines,Atlanta,2
27,EasyJet,"Alicante, Amsterdam, Athens, Basel/Mulhouse [Begins 1 October 2012], Belfast-International, Berlin-Brandenburg [begins 17 March 2013], Berlin-Schönefeld [ends 16 March 2013], Bilbao, Copenhagen, Geneva, Hamburg, Madrid [ends 27 September 2012], Málaga, Malta, Marrakech, Munich, Palma de Mallorca, Paphos, Sharm el-Sheikh, Sofia, Tenerife-South, Tel Aviv-Ben Gurion [begins 1 November 2012] Seasonal: Bastia, Corfu, Dalaman, Heraklion",1
28,Emirates,Dubai,1
29,Etihad Airways,Abu Dhabi,1
30,Finnair,Helsinki,1
31,Finnair operated by Flybe Nordic,Helsinki,1
32,Flybe,"Aberdeen, Belfast-City, Brussels, Düsseldorf, Edinburgh, Exeter, Geneva, Glasgow-International, Hanover, Inverness, Isle of Man, Jersey, Knock, La Rochelle, Milan-Malpensa, Nantes, Newquay, Norwich, Paris-Charles de Gaulle, Southampton Seasonal: Bern, Chambéry, Rennes Seasonal charter: Calvi, Geneva, Lourdes, Innsbruck, Perpignan, Rome-Fiumicino, Turin, Venice-Marco Polo, Verona",3
33,Flybe operated by Loganair,Norwich,3
34,Germanwings,"Cologne/Bonn, Stuttgart [begins 15 July 2012][5]",1
35,Iberia operated by Air Nostrum,Madrid [ends 14 September 2012],3
36,Icelandair,Reykjavík-Keflavík,1
37,Jet2.com,"Alicante, Barcelona, Budapest, Gran Canaria, Lanzarote, Madeira, Murcia, Paris-Charles de Gaulle, Prague, Rome-Fiumicino, Tenerife-South, Tel Aviv-Ben Gurion, Toulouse, Venice-Marco Polo Seasonal: Bodrum, Chambéry, Dalaman, Dubrovnik, Faro, Geneva, Grenoble [Begins 16 December 2012], Heraklion, Ibiza, Kos, Larnaca, Málaga, Nice, Palma de Mallorca, Paphos, Pisa, Pula, Olbia, Reus, Rhodes, Salzburg, Split",1
38,KLM,Amsterdam,3
39,KLM operated by KLM Cityhopper,Amsterdam,3
40,Lufthansa,"Berlin-Brandenburg [begins 17 March 2013], Berlin-Tegel [Ends 16 March 2013], Frankfurt, Munich",1
41,Lufthansa operated by BMI,Frankfurt,1
42,Lufthansa Regional operated by Eurowings,"Düsseldorf, Hamburg",1
43,Lufthansa Regional operated by Contact Air,Stuttgart [ends 14 July 2012],1
44,Monarch,"Alicante, Barcelona, Faro, Fuerteventura, Gran Canaria, Gibraltar, Lanzarote, Larnaca, Málaga, Milan-Malpensa, Munich [begins 21 September 2012], Palma de Mallorca, Sharm el Sheikh, Tenerife-South, Venice-Marco Polo, Verona Seasonal: Antalya, Bodrum, Dalaman, Dubrovnik, Friedrichshafen [begins 15 December 2012], Grenoble [begins 15 December 2012], Ibiza, Minorca, Paphos Chartered Seasonal: Burgas, Cancún, Chania, Corfu, Geneva, Goa, Hurghada, Innsbruck, Kefalonia, Kittilä, Kos, Luxor, Madeira, Mombasa, Mytilene, Orlando-Sanford, Oslo-Gardermoen, Preveza, Rhodes, Salzburg, Skiathos, Sofia, Tenerife-South, Zakynthos",2
45,Norwegian Air Shuttle,"Oslo-Gardermoen, Stockholm-Arlanda [Begins 1 November 2012]",1
46,Nouvelair Tunisie,Djerba,1
47,Onur Air,"Seasonal: Antalya, Dalaman",2
48,Pakistan International Airlines,"Islamabad, Karachi, Lahore, New York-JFK",2
49,Pegasus Airlines,"Seasonal: Antalya, Bodrum, Dalaman",1
50,Qatar Airways,Doha,2
51,Ryanair,"Alicante, Bremen, Brussels-Charleroi, Budapest, Dublin, Faro, Frankfurt-Hahn, Girona, Katowice, Madrid, Málaga, Memmingen, Milan-Orio al Serio, Oslo-Rygge, Paris-Beauvais, Rome-Ciampino, Rzeszow, Tenerife-South, Warsaw Modlin [Begins 1 September 2012] Seasonal: Béziers, Biarritz, Ibiza, Murcia, Palma de Mallorca, Poitiers [Begins 21 August 2012], Reus, Tallinn, Tours , Valencia",3
52,Scandinavian Airlines,"Bergen, Copenhagen, Oslo-Gardermoen, Stockholm-Arlanda",1
53,Singapore Airlines,"Munich, Singapore",2
54,Small Planet Airlines,"Seasonal: Chania, Corfu, Kos, Preveza",1
55,Strategic Airlines,"Seasonal Charter: Corfu, Heraklion, Kefallonia, Kos, Larnaca, Oslo, Paphos, Preveza, Rhodes, Skiathos, Zakynthos Enontekiö",2
56,Swiss International Air Lines,Zürich,1
57,TAP Portugal,Lisbon,1
58,Thomas Cook Airlines,"Alicante, Antalya, Calgary, Cancún, Cayo Coco, Dalaman, Faro, Fuerteventura, Gran Canaria, Holguin, Hurghada, Lanzarote, Luxor, Madeira, Málaga, Malta, Monastir, Montego Bay, Paphos, Puerto Plata, Punta Cana, Sharm el-Sheikh, Tenerife-South, Vancouver, Varadero Seasonal: Acapulco, Agadir, Almería, Barbados, Banjul, Boa Vista, Bodrum, Burgas, Corfu, Geneva, Goa, Heraklion, Ibiza, Lleida-Alguaire, Izmir, Kalamata, Kefalonia, Kittilä, Kos, Larnaca, Las Vegas, Marsa Alam, Minorca, Naples, Orlando-Sanford, Palma de Mallorca, Preveza, Reus, Rhodes, Rimini, Rovaniemi, Salzburg, Santa Clara, Santorini, Skiathos, Sofia, Thessaloniki, Turin, Zakynthos",1
59,Thomson Airways,"Agadir, Alicante, Barbados, Boa Vista, Cancún, Enfidha, Fuerteventura, Gran Canaria, Hurghada, Lanzarote, Luxor, Madeira, Málaga, Malé, Malta, Marrakech, Monastir, Montego Bay, Orlando-Sanford, Palma de Mallorca, Paphos, Puerto Plata, Punta Cana, Sal, Santa Cruz de la Palma, Sharm el-Sheikh, Sofia, Taba, Tenerife-South, Varadero Seasonal: Almeria [begins 2 May 2013],[6] Antalya, Aruba, Bodrum, Burgas, Catania, Chambéry, Chania, Corfu, Dalaman, Dubrovnik, Faro, Geneva, Girona, Goa, Grenoble, Heraklion, Holguin, Ibiza, Innsbruck, Ivalo, Izmir, Kalamata, Kavala, Kefalonia, Kittilä, Kos, Larnaca, La Romana, Marsa Alam, Mersa Matruh, Minorca, Mombasa, Mykonos, Mytilene, Naples, Pisa, Preveza, Pula, Reus, Rhodes, Samos, Salzburg, Santorini, Skiathos, Thessaloniki, Toulouse, Turin, Venice-Marco Polo, Verona, Zakynthos",2
60,Turkish Airlines,Istanbul-Atatürk,1
61,Tunisair,"Enfidha, Monastir, Tunis",2
62,United Airlines,"Newark, Washington-Dulles",2
63,US Airways,Philadelphia,2
64,Virgin Atlantic Airways,"Barbados, Las Vegas, Orlando",2
