,P r o v i n s i,I b u   k o t a,L u a s   ( k m ² ),P o p u l a s i   ( 2 0 2 1 )
0,Drenthe,Assen,2.652,495.000
1,Flevoland,Lelystad,1.462,428.000
2,Fryslân / Friesland,Leeuwarden,3.361,651.000
3,Gelderland,Arnhem,4.955,2.097.000
4,Groningen,Groningen,2.344,587.000
5,Noord-Holland (Holland Utara),Haarlem,2.66,2.888.000
6,Zuid-Holland (Holland Selatan),Den Haag,2.86,3.726.000
7,Limburg,Maastricht,2.167,1.116.000
8,Noord-Brabant (Brabant Utara),Den Bosch,4.938,2.574.000
9,Overijssel,Zwolle,3.337,1.166.000
10,Utrecht,Utrecht,1.356,1.361.000
11,Zeeland,Middelburg,1.792,385.000
