,P r o v i n s i,N a m a   B e l a n d a,N a m a   P r a n c i s,N a m a   J e r m a n,I b u   k o t a,A r e a [ 2 2 ],P o p u l a s i [ 2 3 ]
0,Antwerp,Antwerpen,Anvers,Antwerpen,Antwerpen,2.876 km2,1.857.986
1,Brabant Flandria,Vlaams-Brabant,Brabant flamand,Flämisch-Brabant,Leuven,2.118 km2,1.146.175
2,Flandria Barat,West-Vlanderen,Flandre occidentale,Westflandern,Brugge,3.197 km2,1.857.986
3,Flandria Timur,Oost-Vlaanderen,Flandre orientale,Ostflandern,Gent,3.007 km2,1.857.986
4,Limburg,Limburg,Limbourg,Limburg,Hasselt,2.427 km2,874.048
5,Daerah Walonia,Daerah Walonia,Daerah Walonia,Daerah Walonia,Daerah Walonia,Daerah Walonia,Daerah Walonia
6,Brabant Walonia,Waals-Brabant,Brabant wallon,Wallonisch-Brabant,Wavre,1.097 km2,403.599
7,Hainaut,Henegouwen,Hainaut,Hennegau,Mons,3.813 km2,1.344.241
8,Liège,Luik,Liège,Lüttich,Liège,3.857 km2,1.106.992
9,Luksemburg,Luxemburg,Luxembourg,Luxemburg,Arlon,4.459 km2,284.638
10,Namur,Namen,Namur,Namur (Namür),Namur,3.675 km2,494.325
11,Daerah Ibu Kota Brussel,Daerah Ibu Kota Brussel,Daerah Ibu Kota Brussel,Daerah Ibu Kota Brussel,Daerah Ibu Kota Brussel,Daerah Ibu Kota Brussel,Daerah Ibu Kota Brussel
12,Daerah Ibu Kota Brussel,Brussels Hoofdstedelijk Gewest,Région de Bruxelles-Capitale,Region Brüssel-Hauptstadt,Kota Brussel,"162,4 km2",1.208.542
