,J u m l a h b i n t a n g,J u m l a h g a r i s,R a n c a n g a n,N e g a r a   b a g i a n   y a n g   d i w a k i l i   o l e h   b i n t a n g   b a r u,T a n g g a l   d i g u n a k a n,D u r a s i
0,0,13,Bendera Grand Union,"Union Jack alih-alih kumpulan bintang; garis merah dan putih mewakili Connecticut, Delaware, Georgia, Maryland, Massachusetts, New Hampshire, New Jersey, New York, North Carolina, Pennsylvania, Rhode Island, South Carolina, Virginia",3 Desember 1775[8] – 14 Juni 1777,1 ½ tahun
1,13,13,,"Connecticut, Delaware, Georgia, Maryland, Massachusetts, New Hampshire, New Jersey, New York, North Carolina, Pennsylvania, Rhode Island, South Carolina, Virginia",14 Juni 1777 – 1 Mei 1795,18 tahun
2,15,15,,"Vermont, Kentucky",1 Mei 1795 – 3 Juli 1818,23 tahun
3,20,13,,"Indiana, Louisiana, Mississippi, Ohio, Tennessee",4 Juli 1818 – 3 Juli 1819,1 tahun
4,21,13,,Illinois,4 Juli 1819 – 3 Juli 1820,1 tahun
5,23,13,,"Alabama, Maine",4 Juli 1820 – 3 Juli 1822,2 tahun
6,24,13,,Missouri,"4 Juli 1822 – 3 Juli 18361831 term ""Old Glory"" coined",14 tahun
7,25,13,,Arkansas,4 Juli 1836 – 3 Juli 1837,1 tahun
8,26,13,,Michigan,4 Juli 1837 – 3 Juli 1845,8 tahun
9,27,13,,Florida,4 Juli 1845 – 3 Juli 1846,1 tahun
10,28,13,,Texas,4 Juli 1846 – 3 Juli 1847,1 tahun
11,29,13,,Iowa,4 Juli 1847 – 3 Juli 1848,1 tahun
12,30,13,,Wisconsin,4 Juli 1848 – 3 Juli 1851,3 tahun
13,31,13,,California,4 Juli 1851 – 3 Juli 1858,7 tahun
14,32,13,,Minnesota,4 Juli 1858 – 3 Juli 1859,1 tahun
15,33,13,,Oregon,4 Juli 1859 – 3 Juli 1861,2 tahun
16,34,13,,Kansas,4 Juli 1861 – 3 Juli 1863,2 tahun
17,35,13,,West Virginia,4 Juli 1863 – 3 Juli 1865,2 tahun
18,36,13,,Nevada,4 Juli 1865 – 3 Juli 1867,2 tahun
19,37,13,,Nebraska,4 Juli 1867 – 3 Juli 1877,10 tahun
20,38,13,,Colorado,4 Juli 1877 – 3 Juli 1890,13 tahun
21,43,13,,"Idaho, Montana, North Dakota, South Dakota, Washington",4 Juli 1890 – 3 Juli 1891,1 tahun
22,44,13,,Wyoming,4 Juli 1891 – 3 Juli 1896,5 tahun
23,45,13,,Utah,4 Juli 1896 – 3 Juli 1908,12 tahun
24,46,13,,Oklahoma,4 Juli 1908 – 3 Juli 1912,4 tahun
25,48,13,,"Arizona, New Mexico",4 Juli 1912 – 3 Juli 1959,47 tahun
26,49,13,,Alaska,4 Juli 1959 – 3 Juli 1960,1 tahun
27,50,13,,Hawaii,4 Juli 1960 – sekarang,62 tahun
