,n a m a,j u m l a h   s p e s i e s,w a k t u   p e r k i r a a n,j u m l a h   i n d i v i d u,r a t a - r a t a   b e r a t   i n d i v i d u,p e r s e n   b i o m a s s a   ( k e r i n g ),t o t a l   j u m l a h   a t o m   k a r b o n,t o t a l   b i o m a s s a   k e r i n g   g l o b a l   d a l a m   j u t a   t o n,t o t a l   b i o m a s s a   b a s a h   g l o b a l   d a l a m   j u t a   t o n
0,Manusia,1,2012[11],7.0 miliar,50 kg(termasuk anak-anak),30%,3.5 x 1036[12],105,350
1,Manusia,1,2005,4.63 billion,62 kg(tidak termasuk anak-anak)[13],,,,287[13]
2,Sapi,1,,1.3 miliar[14],400 kg,30%,,156,520
3,Domba dan kambing,2,2002,1.75 miliar[15],60 kg,30%,,31.5,105
4,Ayam,1,,24 miliar,2 kg,30%,,14.4,48
5,Semut,"12,649[16]",,107 - 108 billion[17],3 x 10−6kg (0.003 grams),30%,,10-100,30-300
6,Rayap,">2,800",1996,,,,,,445[18]
7,Paus biru[19],1,Sebelum perburuan paus dimulai,340000,,40%[20],4.7 x 1035[21],36,
8,Paus biru[19],1,2001,4700,,40%[20],,,0.5
9,Ikan laut,">10,000",2009,,,,,"800-2,000[22]",
10,Krill antartika,1,1924–2004,7.8 x 1014,0.486 g,,,,379[23]
11,Copepods(zooplankton),13000,,10-6 - 10−9 kg,,,1x1037[24],,
12,Cyanobacteria(picoplankton),?,2003,,,,,,"1,000[25]"
13,Prokaryota(bakteri),?,1998,4–6 x 1030 cells[8],,,1.76-2.76 x 1040[8],"350,000-550,000[8]",
