,B o r o u g h   d i   L o n d o n   D a l a m,B e k a s   w i l a y a h,B e k a s   w i l a y a h . 1,B e k a s   w i l a y a h . 2
0,Camden,Hampstead (11a),St Pancras (11b),Holborn (11c)
1,Greenwich,Greenwich (22a),Woolwich (part) (22b),
2,Hackney,Hackney (9a),Shoreditch (9b),Stoke Newington (9c)
3,Hammersmith,Hammersmith (4a),Fulham (4b),
4,Islington,Islington (10a),Finsbury (10b),
5,Kensington and Chelsea,Kensington (3a),Chelsea (3b),
6,Lambeth,Lambeth (6a),Wandsworth (part) (6b),
7,Lewisham,Lewisham (21a),Deptford (21b),
8,Southwark,Bermondsey (7b),Camberwell (7c),Southwark (7a)
9,Tower Hamlets,Bethnal Green (8a),Poplar (8c),Stepney (8b)
10,Wandsworth,Battersea (5b),Wandsworth (part) (5a),
11,Westminster,Paddington (2c),St Marylebone (2b),Westminster (2a)
