,D a t a   i k l i m   B r a t i s l a v a   ( 1 9 8 1 – 2 0 1 0 ),D a t a   i k l i m   B r a t i s l a v a   ( 1 9 8 1 – 2 0 1 0 ),D a t a   i k l i m   B r a t i s l a v a   ( 1 9 8 1 – 2 0 1 0 ),D a t a   i k l i m   B r a t i s l a v a   ( 1 9 8 1 – 2 0 1 0 ),D a t a   i k l i m   B r a t i s l a v a   ( 1 9 8 1 – 2 0 1 0 ),D a t a   i k l i m   B r a t i s l a v a   ( 1 9 8 1 – 2 0 1 0 ),D a t a   i k l i m   B r a t i s l a v a   ( 1 9 8 1 – 2 0 1 0 ),D a t a   i k l i m   B r a t i s l a v a   ( 1 9 8 1 – 2 0 1 0 ),D a t a   i k l i m   B r a t i s l a v a   ( 1 9 8 1 – 2 0 1 0 ),D a t a   i k l i m   B r a t i s l a v a   ( 1 9 8 1 – 2 0 1 0 ),D a t a   i k l i m   B r a t i s l a v a   ( 1 9 8 1 – 2 0 1 0 ),D a t a   i k l i m   B r a t i s l a v a   ( 1 9 8 1 – 2 0 1 0 ),D a t a   i k l i m   B r a t i s l a v a   ( 1 9 8 1 – 2 0 1 0 ),D a t a   i k l i m   B r a t i s l a v a   ( 1 9 8 1 – 2 0 1 0 )
0,Rekor tertinggi °C (°F),19.8 (67.6),19.1 (66.4),25.0 (77),30.3 (86.5),33.4 (92.1),36.3 (97.3),38.2 (100.8),39.3 (102.7),34.0 (93.2),30.0 (86),21.3 (70.3),17.9 (64.2),39.3 (102.7)
1,Rata-rata tertinggi °C (°F),2.7 (36.9),5.1 (41.2),10.3 (50.5),16.7 (62.1),21.8 (71.2),24.9 (76.8),27.5 (81.5),27.0 (80.6),21.7 (71.1),15.6 (60.1),8.2 (46.8),3.3 (37.9),15.4 (59.7)
2,Rata-rata harian °C (°F),−0.4 (31.3),1.2 (34.2),5.5 (41.9),11.0 (51.8),16.0 (60.8),19.1 (66.4),21.3 (70.3),20.7 (69.3),15.9 (60.6),10.4 (50.7),4.9 (40.8),0.7 (33.3),10.5 (50.9)
3,Rata-rata terendah °C (°F),−3.4 (25.9),−2.3 (27.9),1.3 (34.3),5.4 (41.7),10.2 (50.4),13.4 (56.1),15.4 (59.7),15.0 (59),11.0 (51.8),6.1 (43),1.8 (35.2),−1.9 (28.6),6.0 (42.8)
4,Rekor terendah °C (°F),−24.6 (−12.3),−20 (−4),−15.1 (4.8),−4.4 (24.1),−2 (28),3.0 (37.4),7.0 (44.6),5.0 (41),−2.0 (28.4),−8 (18),−12 (10),−20 (−4),−24.6 (−12.3)
5,Presipitasi mm (inci),39 (1.54),37 (1.46),38 (1.5),34 (1.34),55 (2.17),57 (2.24),53 (2.09),59 (2.32),55 (2.17),38 (1.5),54 (2.13),46 (1.81),565 (22.24)
6,Curah salju cm (inci),10.7 (4.21),5.7 (2.24),1.6 (0.63),0.2 (0.08),0.0 (0),0.0 (0),0.0 (0),0.0 (0),0.0 (0),0.2 (0.08),1.8 (0.71),4.0 (1.57),24.2 (9.52)
7,% kelembapan,83,78,71,64,67,66,64,65,73,78,83,85,73
8,Rata-rata sinar matahari bulanan,65.1,81.9,151.9,204.0,263.5,270.0,275.9,269.7,207.0,142.6,60.0,46.5,"2.038,1"
9,"Sumber: Pogodaiklimat.ru,[81] Climatemps[82] dan Weather Atlas[83]","Sumber: Pogodaiklimat.ru,[81] Climatemps[82] dan Weather Atlas[83]","Sumber: Pogodaiklimat.ru,[81] Climatemps[82] dan Weather Atlas[83]","Sumber: Pogodaiklimat.ru,[81] Climatemps[82] dan Weather Atlas[83]","Sumber: Pogodaiklimat.ru,[81] Climatemps[82] dan Weather Atlas[83]","Sumber: Pogodaiklimat.ru,[81] Climatemps[82] dan Weather Atlas[83]","Sumber: Pogodaiklimat.ru,[81] Climatemps[82] dan Weather Atlas[83]","Sumber: Pogodaiklimat.ru,[81] Climatemps[82] dan Weather Atlas[83]","Sumber: Pogodaiklimat.ru,[81] Climatemps[82] dan Weather Atlas[83]","Sumber: Pogodaiklimat.ru,[81] Climatemps[82] dan Weather Atlas[83]","Sumber: Pogodaiklimat.ru,[81] Climatemps[82] dan Weather Atlas[83]","Sumber: Pogodaiklimat.ru,[81] Climatemps[82] dan Weather Atlas[83]","Sumber: Pogodaiklimat.ru,[81] Climatemps[82] dan Weather Atlas[83]","Sumber: Pogodaiklimat.ru,[81] Climatemps[82] dan Weather Atlas[83]"
