,L a m b a n g,P r o v i n s i,L a m b a n g . 1,P r o v i n s i . 1
0,,Blagoevgrad,,Rousse
1,,Burgas,,Shumen
2,,Dobrich,,Silistra
3,,Gabrovo,,Sliven
4,,Haskovo,,Smolyan
5,,Kardzhali,,"Sofia (provinsi metropolitan) Bersama-sama kota itu sendiri, terdiri dari 3 kota-kecil dan 34 desa yang keseluruhannya 24 distrik.[92]"
6,,Kyustendil,,Provinsi Sofia Provinsi pusat kecuali kawasan metropolitan dan permukiman yang mengitarinya
7,,Lovech,,Stara Zagora
8,,Montana,,Targovishte
9,,Pazardzhik,,Varna
10,,Pernik,,Veliko Tarnovo
11,,Pleven,,Vidin
12,,Plovdiv,,Vratsa
13,,Razgrad,,Yambol
