,N e g a r a   B a g i a n,P o p u l a s i [ 9 ],J u m l a h   P e r w a k i l a n,P o p u l a s i   p e r   1   j u m l a h   P e r w a k i l a n,P a r t a i   Y a n g   T e r p i l i h,P e m i l i h a n   T e r a k h i r,P e r i o d e   K e p r e s i d e n a n   B u n d e s r a t
0,Baden-Württemberg,10879618,6 █ █ █ █ █ █,1813270,"Greens, CDU",2021.0,2028/29
1,Bavaria,12843514,6 █ █ █ █ █ █,2140586,"CSU, FW",2018.0,2027/28
2,Berlin,3520031,4 █ █ █ █,880008,"SPD, Greens, The Left",2021.0,2033/34
3,Brandenburg,2484826,4 █ █ █ █,621207,"SPD, CDU, Greens",2019.0,2035/36
4,Bremen,671489,3 █ █ █,223830,"SPD, Greens, The Left",2019.0,2025/26
5,Hamburg,1787408,3 █ █ █,595803,"SPD, Greens",2020.0,2022/23
6,Hesse,6176172,5 █ █ █ █ █,1235234,"CDU, Greens",2018.0,2030/31
7,Lower Saxony,7926599,6 █ █ █ █ █ █,1321100,"SPD, CDU",2017.0,2029/30
8,Mecklenburg-Vorpommern,1612362,3 █ █ █,537454,"SPD, The Left",2021.0,2023/24
9,North Rhine-Westphalia,17865516,6 █ █ █ █ █ █,2977586,"CDU, Greens",2022.0,2026/27
10,Rhineland-Palatinate,4052803,4 █ █ █ █,1013201,"SPD, Greens, FDP",2021.0,2032/33
11,Saarland,995597,3 █ █ █,331866,SPD,2022.0,2024/25
12,Saxony,4084851,4 █ █ █ █,1021213,"CDU, Greens, SPD",2019.0,2031/32
13,Saxony-Anhalt,2245470,4 █ █ █ █,561368,"CDU, SPD, FDP",2021.0,2036/37
14,Schleswig-Holstein,2858714,4 █ █ █ █,714679,"CDU, Greens",2022.0,2034/35
15,Thuringia,2170714,4 █ █ █ █,542679,"The Left, SPD, Greens",2019.0,Saat ini sedang menjabat
16,Total,82175684,69,1190952,,,
