,N a m a,N e g a r a,T a h u n   m e n j a b a t,C a t a t a n
0,Gilbert Govi,Italy,1875–1877,
1,J. Pernet,Swiss,1877–1879,Pelaksana tugas
2,Ole Jacob Broch,Norwegia,1879–1889,
3,J.-René Benoît,Prancis,1889–1915,
4,Charles Édouard Guillaume,Swiss,1915–1936,
5,Albert Pérard,Prancis,1936–1951,
6,Charles Volet,Swiss,1951–1961,
7,Jean Terrien,Prancis,1962–1977,
8,Pierre Giacomo,Prancis,1978–1988,
9,Terry J. Quinn,Britania Raya,1988–2003,Direktur kehormatan
10,Andrew J. Wallard,Britania Raya,2004–2010,Direktur kehormatan
11,Michael Kühne,Jerman,2011–2012,
12,Martin J. T. Milton,Britania Raya,2013–present,
