,E k o n o m i,B u r s a   E f e k,K a p i t a l i s a s i   p a s a r ( M i l i a r   D o l a r   A S ),N i l a i   P e r d a g a n g a n ( M i l i a r   D o l a r   A S )
0,Amerika Serikat Eropa,NYSE Euronext,15970,19813
1,Amerika Serikat Eropa,NASDAQ OMX,4931,13439
2,Jepang,Bursa Efek Tokyo,3827,3787
3,Britania Raya,Bursa Efek London,3613,2741
4,Tiongkok,Bursa Saham Shanghai,2717,4496
5,Hong Kong,Bursa Efek Hong Kong,2711,1496
6,Kanada,Bursa Efek Toronto,2170,1368
7,India,Bursa Efek Mumbai,1631,258
8,India,Bursa Saham Nasional India,1596,801
9,Brasil,BM&F Bovespa,1545,868
10,Australia,Bursa Efek Australia,1454,1062
11,Jerman,Deutsche Börse,1429,1628
12,Tiongkok,Bursa Saham Shenzhen,1311,3572
13,Swiss,Bursa Efek Swiss,1229,788
14,Spanyol,Bursa Efek BME,1171,1360
15,Korea Selatan,Bursa Efek Korea,1091,1607
16,Rusia,MICEX,949,408
17,Afrika Selatan,Bursa Saham Johannesburg,925,340
