,N e g a r a,P e r k i r a a n   t e r a k h i r   ( t a h u n ),P e r k i r a a n   s e b e l u m n y a   ( t a h u n ),C e n t e n a r i a n   t i a p 1 0 0 . 0 0 0   o r a n g
0,Andorra,7 (2002)[6],–,10.23
1,Argentina,"3,487 (2010)[7]",–,8.69
2,Australia,"4,252 (2011)[8]",,18.75
3,Austria,232 (1990)[9],[9],2.98
4,Belgia,"1,559 (2010)[10]",[11],14.24
5,Brazil,"23,760 (2010)[11]",–,12.46
6,Kanada,"7,569 (2011)[11]",–,22.31
7,China,"48,921 (2011)[12]","[11] 17,800 (2007)[13]",3.63
8,Republik Ceko,625 (2011)[14],,5.92
9,Denmark,889 (2010)[11],[9],16.08
10,Estonia,42 (1990)[9],–,2.67
11,Finlandia,566 (2010)[11],[9],10.6
12,Prancis,"20,106 (2013)[15]",,27.01[16]
13,Jerman,"17,000 (2012)[17]",[18],21
14,Hungaria,799 (2009)[19],,7.98
15,Islandia,17 (1990)[9],[9],6.67
16,Irlandia,87 (1990)[9],–,2.48
17,Italia,"16,390 (2013)[20]",[11],27.46
18,Jepang,"51,376 (2012)[3]",[11] 155 (1960)[21],34.85
19,Meksiko,"7,441 (2010)",,6.62
20,Belanda,"1,743 (2010)[22]",[23],10.41
21,Selandia Baru,297 (1991)[24],[9],5.92
22,Norwegia,636 (2010),,13.1
23,Peru,"1,682 (2011)[25]",–,5.58
24,Polandia,"2,414 (2009)",[26],6.27
25,Portugal,268 (1990)[9],–,2.72
26,Singapura,724 (2011)[27],[9],13.7
27,Slovenia,224 (2013)[28],[29],10.88[28]
28,Korea Selatan,"1,836 (2010)[30]",,3.67
29,Spanyol,"12,033 (2013)[31]","5,891 (2009)[32]",26.44
30,Swedia,"1,798 (2010)",,19.1
31,Switzerland,"1,306 (2010)",,16.64
32,Thailand,"17,883 (2012)[33]","34,784 (2003)[33]",26.80
33,Britania Raya,"13,361 (2012)[34][35][36][37]",[38],20.97
34,Amerika Serikat,"53,364 (2010)[2]",[39],17.3
35,Uruguay,519 (2011)[40],–,15.79[41]
36,Perkiraan Dunia,"316,600 (2012)[1]",,4.44
