,P e r i o d e,P e m a s o k   k o s t u m,S p o n s o r   u t a m a
0,1968–1981,Umbro,Tidak ada
1,1981–1983,Le Coq Sportif,Tidak ada
2,1983–1984,Le Coq Sportif,Gulf Air
3,1984–1986,Le Coq Sportif,Tidak ada
4,1986–1987,The Chelsea Collection,"Grange Farms, Bai Lin Tea, SIMOD"
5,1987–1993,Umbro,Commodore
6,1993–1994,Umbro,Amiga
7,1994–1997,Umbro,Coors
8,1997–2001,Umbro,Autoglass
9,2001–2005,Umbro,Fly Emirates
10,2005–2006,Umbro,Samsung Mobile
11,2006–2008,Adidas,Samsung Mobile
12,2008–2015,Adidas,Samsung
13,2015–2017,Adidas,Yokohama Tyres
14,2017–2020,Nike,Yokohama Tyres
15,2020–sekarang,Nike,Three
