,D a t a   i k l i m   C u r a ç a o   -   B a n d a r a   I n t e r n a s i o n a l   C u r a ç a o   ( T N C C )   ( 1 9 8 1 - 2 0 1 0 ),D a t a   i k l i m   C u r a ç a o   -   B a n d a r a   I n t e r n a s i o n a l   C u r a ç a o   ( T N C C )   ( 1 9 8 1 - 2 0 1 0 ),D a t a   i k l i m   C u r a ç a o   -   B a n d a r a   I n t e r n a s i o n a l   C u r a ç a o   ( T N C C )   ( 1 9 8 1 - 2 0 1 0 ),D a t a   i k l i m   C u r a ç a o   -   B a n d a r a   I n t e r n a s i o n a l   C u r a ç a o   ( T N C C )   ( 1 9 8 1 - 2 0 1 0 ),D a t a   i k l i m   C u r a ç a o   -   B a n d a r a   I n t e r n a s i o n a l   C u r a ç a o   ( T N C C )   ( 1 9 8 1 - 2 0 1 0 ),D a t a   i k l i m   C u r a ç a o   -   B a n d a r a   I n t e r n a s i o n a l   C u r a ç a o   ( T N C C )   ( 1 9 8 1 - 2 0 1 0 ),D a t a   i k l i m   C u r a ç a o   -   B a n d a r a   I n t e r n a s i o n a l   C u r a ç a o   ( T N C C )   ( 1 9 8 1 - 2 0 1 0 ),D a t a   i k l i m   C u r a ç a o   -   B a n d a r a   I n t e r n a s i o n a l   C u r a ç a o   ( T N C C )   ( 1 9 8 1 - 2 0 1 0 ),D a t a   i k l i m   C u r a ç a o   -   B a n d a r a   I n t e r n a s i o n a l   C u r a ç a o   ( T N C C )   ( 1 9 8 1 - 2 0 1 0 ),D a t a   i k l i m   C u r a ç a o   -   B a n d a r a   I n t e r n a s i o n a l   C u r a ç a o   ( T N C C )   ( 1 9 8 1 - 2 0 1 0 ),D a t a   i k l i m   C u r a ç a o   -   B a n d a r a   I n t e r n a s i o n a l   C u r a ç a o   ( T N C C )   ( 1 9 8 1 - 2 0 1 0 ),D a t a   i k l i m   C u r a ç a o   -   B a n d a r a   I n t e r n a s i o n a l   C u r a ç a o   ( T N C C )   ( 1 9 8 1 - 2 0 1 0 ),D a t a   i k l i m   C u r a ç a o   -   B a n d a r a   I n t e r n a s i o n a l   C u r a ç a o   ( T N C C )   ( 1 9 8 1 - 2 0 1 0 ),D a t a   i k l i m   C u r a ç a o   -   B a n d a r a   I n t e r n a s i o n a l   C u r a ç a o   ( T N C C )   ( 1 9 8 1 - 2 0 1 0 )
0,Rekor tertinggi °C (°F),33.3 (91.9),33.2 (91.8),33.0 (91.4),34.7 (94.5),36.0 (96.8),37.5 (99.5),35.0 (95),37.4 (99.3),38.3 (100.9),36.0 (96.8),35.6 (96.1),33.3 (91.9),38.3 (100.9)
1,Rata-rata tertinggi °C (°F),29.9 (85.8),30.1 (86.2),30.7 (87.3),31.4 (88.5),32.0 (89.6),32.1 (89.8),32.1 (89.8),32.7 (90.9),32.8 (91),32.1 (89.8),31.1 (88),30.3 (86.5),31.4 (88.5)
2,Rata-rata harian °C (°F),26.6 (79.9),26.7 (80.1),27.2 (81),27.8 (82),28.4 (83.1),28.6 (83.5),28.5 (83.3),28.9 (84),29.1 (84.4),28.6 (83.5),28.0 (82.4),27.2 (81),28.0 (82.4)
3,Rata-rata terendah °C (°F),24.4 (75.9),24.5 (76.1),24.9 (76.8),25.6 (78.1),26.3 (79.3),26.5 (79.7),26.1 (79),26.5 (79.7),26.6 (79.9),26.2 (79.2),25.6 (78.1),24.9 (76.8),25.7 (78.3)
4,Rekor terendah °C (°F),21.5 (70.7),20.6 (69.1),21.3 (70.3),22.0 (71.6),21.6 (70.9),22.4 (72.3),22.3 (72.1),21.3 (70.3),22.7 (72.9),21.9 (71.4),22.0 (71.6),21.6 (70.9),20.6 (69.1)
5,Curah hujan mm (inci),46.0 (1.811),28.8 (1.134),14.1 (0.555),19.4 (0.764),21.3 (0.839),22.4 (0.882),41.3 (1.626),39.7 (1.563),49.1 (1.933),102.0 (4.016),122.4 (4.819),95.5 (3.76),602 (23.702)
6,Rata-rata hari hujan (≥ 1.0 mm),8.5,5.5,2.5,2.4,2.2,3.3,6.4,4.6,4.7,8.1,10.9,11.4,70.5
7,% kelembapan,78.5,78.2,77.3,78.2,77.9,77.5,78.1,77.8,78.1,79.6,80.6,79.5,78.4
8,Rata-rata sinar matahari bulanan,264.7,249.6,271.8,249.4,266.3,266.7,290.4,302.5,261.7,247.8,234.7,247.1,"3.152,7"
9,Sumber: Meteorological Department Curacao[18],Sumber: Meteorological Department Curacao[18],Sumber: Meteorological Department Curacao[18],Sumber: Meteorological Department Curacao[18],Sumber: Meteorological Department Curacao[18],Sumber: Meteorological Department Curacao[18],Sumber: Meteorological Department Curacao[18],Sumber: Meteorological Department Curacao[18],Sumber: Meteorological Department Curacao[18],Sumber: Meteorological Department Curacao[18],Sumber: Meteorological Department Curacao[18],Sumber: Meteorological Department Curacao[18],Sumber: Meteorological Department Curacao[18],Sumber: Meteorological Department Curacao[18]
