,N o,B e r k u a s a,N a m a   L a h i r,N a m a   A n u m e r t a,C a t a t a n
0,1,660 SM hingga 585 SM,Kamuyamato Iwarebiko,Kaisar Jimmu,"Kemungkinan Legenda; diklaim merupakan keturunan dewi matahari, Amaterasu"
1,2,581 SM hingga 549 SM,Kamu Nunagawamimi no Mikoto,Kaisar Suizei,Kemungkinan Legenda
2,3,549 SM hingga 511 SM,Shikitsuhiko Tamademi no Mikoto,Kaisar Annei,Kemungkinan Legenda
3,4,510 SM hingga 476 SM,Oho Yamatohiko Sukitomo no Mikoto,Kaisar Itoku,Kemungkinan Legenda
4,5,475 SM hingga 393 SM,Mimatsuhiko Kaesine no Mikoto,Kaisar Kōshō,Kemungkinan Legenda
5,6,392 SM hingga 291 SM,Oho Yamato Tarasihiko Kuniosi Hito no Mikoto,Kaisar Kōan,Kemungkinan Legenda
6,7,290 SM hingga 215 SM,Oho Yamato Nekohiko Futoni no Mikoto,Kaisar Kōrei,Kemungkinan Legenda
7,8,214 SM hingga 158 SM,Oho Yamato Nekohiko Kuni Kuru no Mikoto,Kaisar Kōgen,Kemungkinan Legenda
8,9,157 SM hingga 98 SM,Waka Yamato Nekohiko Oho Bibino no Mikoto,Kaisar Kaika,Kemungkinan Legenda
9,10,97 SM hingga 30 SM,Mimaki Irihiko Inie no Mikoto,Kaisar Sujin,Kemungkinan Legenda
10,11,29 SM hingga 70,Ikume Irihiko Isatsi no Mikoto,Kaisar Suinin,Kemungkinan Legenda
11,12,71 hingga 130,Oho Tarasihiko Osirowake no Mikoto,Kaisar Keikō,Kemungkinan Legenda
12,13,131 hingga 191,Waka Tarsihiko,Kaisar Seimu,Kemungkinan Legenda
13,14,192 hingga 200,Tarasi Nakatsuhiko no Mikoto,Kaisar Chūai,Kemungkinan Legenda
14,,201 hingga 269,Okinaga Tarashihime no Mikoto,Permaisuri Jingū,Kemungkinan Legenda; interregnum
15,Periode Yamato (Periode Kofun),Periode Yamato (Periode Kofun),Periode Yamato (Periode Kofun),Periode Yamato (Periode Kofun),Periode Yamato (Periode Kofun)
16,15,270 hingga 310,Fondano Miko no Mikoto / Otomowake no Mikoto / Humudawake no Mikoto,Kaisar Ōjin,Kaisar historis pertama[butuh rujukan]; dituhankan sebagai Hachiman
17,16,313 hingga 399,Oho Sazaki no Mikoto,Kaisar Nintoku,Tanggal tidak akurat
18,17,400 hingga 405,Isaho Wake no Mikoto,Kaisar Richū,Tanggal tidak akurat
19,18,406 hingga 410,Misu wa Wake no Mikoto,Kaisar Hanzei,Tanggal tidak akurat
20,19,411 hingga 453,Wo Asazuma Wakugo no Sukune,Kaisar Ingyō,Tanggal tidak akurat
21,20,453 hingga 456,Anaho no Mikoto,Kaisar Ankō,Tanggal tidak akurat
22,21,456 hingga 479,Oho Hatsuneno no Mikoto,Kaisar Yūryaku,Tanggal tidak akurat
23,22,480 hingga 484,Siraga Takehiro Kuni Osi Wakai Yamato Neko no Mikoto,Kaisar Seinei,Tanggal tidak akurat
24,23,485 hingga 487,Ohoke no Mikoto,Kaisar Kenzō,Tanggal tidak akurat
25,24,488 hingga 498,Ohosi(Ohosu) no Mikoto/Simano Iratsuko,Kaisar Ninken,Tanggal tidak akurat
26,25,498 hingga 506,Wohatsuse Wakasazaki,Kaisar Buretsu,Tanggal tidak akurat
27,26,507 hingga 531,Ōto/Hikofuto (Hikofuto no Mikoto/Ōdo no Sumera Mikoto),Kaisar Keitai,Tanggal tidak akurat
28,27,531 hingga 536,Hirokuni Oshitake Kanahi no Mikoto,Kaisar Ankan,Tanggal tidak akurat
29,28,536 hingga 539,Takeo Hirokuni Oshitate no Mikoto,Kaisar Senka,Tanggal tidak akurat
30,Periode Asuka (592-710),Periode Asuka (592-710),Periode Asuka (592-710),Periode Asuka (592-710),Periode Asuka (592-710)
31,29,539 hingga 571,Amekuni Oshiharuki Hironiwa no Sumera Mikoto,Kaisar Kimmei,
32,30,572 hingga 585,Osada no Nunakura no Futotamashiki no Mikoto,Kaisar Bidatsu,
33,31,585 hingga 587,Ooe/Tachibana no Toyohi no Sumera Mikoto,Kaisar Yōmei,
34,32,587 hingga 592,Hatsusebe no (Wakasasagi) Mikoto,Kaisar Sushun,
35,33,593 hingga 628,Nukatabe/Toyomike Kashikiyahime,Maharani Suiko,Maharani non-legenda pertama. Pangeran Shotoku bertindak sebagai walinya
36,34,629 hingga 641,Tamura (Oki Nagatarashihi Hironuka no Sumera Mikoto),Kaisar Jomei,
37,35,642 hingga 645,Takara (Ame Toyotakaraikashi Hitarashi Hime no Sumera Mikoto),Maharani Kōgyoku,Bertakhta dua kali
38,36,645 hingga 654,Karu (Ame Yorozu Toyohi no Sumera Mikoto),Kaisar Kōtoku,
39,37,655 hingga 661,Takara (Ame Toyotakaraikashi Hitarashi Hime no Sumera Mikoto),Maharani Saimei,lihat no. 35
40,38,661 hingga 672,Katsuragi/Nakano-ooe (Ame Mikoto Hirakasuwake no Mikoto/Amatsu Mikoto Sakiwake no Mikoto),Kaisar Tenji,
41,39,672,Ōtomo,Kaisar Kōbun,Disingkirkan oleh Temmu
42,40,672 hingga 686,Ōama/Ohoshiama/Ōsama (Ame no Nunahara Oki no Mahito no Sumera Mikoto),Kaisar Tenmu,
43,41,686 hingga 697,Unonosarara (Takama no Harahiro no Hime no Sumera Mikoto),Maharani Jitō,
44,42,697 hingga 707,Karu (Ame no Mamune Toyoohoji no Sumera Mikoto),Kaisar Mommu,
45,43,707 hingga 715,Ahe (Yamatoneko Amatsu Mishiro Toyokuni Narihime no Sumera Mikoto),Maharani Gemmei,
46,Periode Nara (710-794),Periode Nara (710-794),Periode Nara (710-794),Periode Nara (710-794),Periode Nara (710-794)
47,44,715 hingga 724,Hidaka/Niinomi (Yamatoneko Takamizu Kiyotarashi Hime no Sumera Mikoto),Maharani Genshō,
48,45,724 hingga 749,Obito (Ameshirushi Kunioshiharuki Toyosakurahiko no Sumera Mikoto),Kaisar Shōmu,
49,46,749 hingga 758,Abe (Yamatoneko no Sumera Mikoto),Maharani Kōken,Bertakhta dua kali
50,47,758 hingga 764,Ōi,Kaisar Junnin,disingkirkan oleh Shōtoku
51,48,764 hingga 770,,Maharani Shōtoku,lihat no. 46
52,49,770 hingga 781,Shirakabe (Amemune Takatsugi no Mikoto),Kaisar Kōnin,
53,Periode Heian (794-1192),Periode Heian (794-1192),Periode Heian (794-1192),Periode Heian (794-1192),Periode Heian (794-1192)
54,50,781 hingga 806,Yamabe (Yamatoneko Amatsu Hitsugi Iyaderi no Mikoto),Kaisar Kammu,
55,51,806 hingga 809,Ate (Yamatoneko Ameoshikuni Takahiko no Mikoto),Kaisar Heizei,
56,52,809 hingga 823,Kamino,Kaisar Saga,
57,53,823 hingga 833,Ōtomo,Kaisar Junna,
58,54,833 hingga 850,Masara,Kaisar Nimmyō,
59,55,850 hingga 858,Michiyasu,Kaisar Montoku,
60,56,858 hingga 876,Korehito,Kaisar Seiwa,
61,57,876 hingga 884,Sadaakira,Kaisar Yōzei,
62,58,884 hingga 887,Tokiyasu,Kaisar Kōkō,
63,59,887 hingga 897,Sadami,Kaisar Uda,
64,60,897 hingga 930,Atsuhito,Kaisar Daigo,
65,61,930 hingga 946,Yutaakira,Kaisar Suzaku,
66,62,946 hingga 967,Nariakira,Kaisar Murakami,
67,63,967 hingga 969,Norihira,Kaisar Reizei,
68,64,969 hingga 984,Morihira,Kaisar En-yū,
69,65,984 hingga 986,Morosada,Kaisar Kazan,
70,66,986 hingga 1011,Yasuhito/Kanehito,Kaisar Ichijō,
71,67,1011 hingga 1016,Okisada/Iyasada,Kaisar Sanjō,
72,68,1016 hingga 1036,Atsuhira,Kaisar Go-Ichijō,
73,69,1036 hingga 1045,Atsunaga/Atsuyoshi,Kaisar Go-Suzaku,
74,70,1045 hingga 1068,Chikahito,Kaisar Go-Reizei,
75,71,1068 hingga 1073,Takahito,Kaisar Go-Sanjō,
76,72,1073 hingga 1086,Sadahito,Kaisar Shirakawa,Pemerintahan terasing 1087 hingga 1129
77,73,1087 hingga 1107,Taruhito,Kaisar Horikawa,
78,74,1107 hingga 1123,Munehito,Kaisar Toba,Pemerintahan terasing 1129 hingga 1156
79,75,1123 hingga 1142,Akihito,Kaisar Sutoku,
80,76,1142 hingga 1155,Narihito,Kaisar Konoe,
81,77,1155 hingga 1158,Masahito,Kaisar Go-Shirakawa,Pemerintahan terasing 1158 hingga 1192
82,78,1158 hingga 1165,Morihito,Kaisar Nijō,
83,79,1165 hingga 1168,Yorihito,Kaisar Rokujō,
84,80,1168 hingga 1180,Norihito,Kaisar Takakura,
85,81,1180 hingga 1185,Tokihito,Kaisar Antoku,
86,82,1183 hingga 1198,Takahira,Kaisar Go-Toba,
87,Periode Kamakura (1192-1333),Periode Kamakura (1192-1333),Periode Kamakura (1192-1333),Periode Kamakura (1192-1333),Periode Kamakura (1192-1333)
88,83,1198 hingga 1210,Tamehito,Kaisar Tsuchimikado,
89,84,1210 hingga 1221,Morihira/Morinari,Kaisar Juntoku,
90,85,1221,Kanehira/Kanenari,Kaisar Chūkyō,
91,86,1221 hingga 1232,Yutahito,Kaisar Go-Horikawa,
92,87,1232 hingga 1242,Mitsuhito/Hidehito,Kaisar Shijō,
93,88,1242 hingga 1246,Kunihito,Kaisar Go-Saga,
94,89,1246 hingga 1260,Hisahito,Kaisar Go-Fukakusa,
95,90,1260 hingga 1274,Tsunehito,Kaisar Kameyama,
96,91,1274 hingga 1287,Yohito,Kaisar Go-Uda,
97,92,1287 hingga 1298,Hirohito,Kaisar Fushimi,
98,93,1298 hingga 1301,Tanehito,Kaisar Go-Fushimi,
99,94,1301 hingga 1308,Kuniharu,Kaisar Go-Nijō,
100,95,1308 hingga 1318,Tomihito,Kaisar Hanazono,
101,96,1318 hingga 1339,Takaharu,Kaisar Go-Daigo,"Disingkirkan oleh shogun, 1332; Pemerintahan Selatan, 1336 hingga 1339"
102,Pemerintahan Utara,Pemerintahan Utara,Pemerintahan Utara,Pemerintahan Utara,Pemerintahan Utara
103,,1331 hingga 1333,Kazuhito,Kaisar Kōgon,
104,,1336 hingga 1348,Yutahito,Kaisar Kōmyō,
105,,1348 hingga 1351,Okihito,Kaisar Sukō,
106,,1351 hingga 1352,,Interregnum,
107,,1352 hingga 1371,Iyahito,Kaisar Go-Kōgon,
108,,1371 hingga 1382,Ohito,Kaisar Go-En'yū,
109,,1382 hingga 1392,lihat no. 100,Kaisar Go-Komatsu,Penyatuan kembali tahun 1392
110,Periode Muromachi (1392-1573),Periode Muromachi (1392-1573),Periode Muromachi (1392-1573),Periode Muromachi (1392-1573),Periode Muromachi (1392-1573)
111,97,1339 hingga 1368,Norinaga/Noriyoshi,Kaisar Go-Murakami,Pemerintahan Selatan
112,98,1368 hingga 1383,Yutanari,Kaisar Chōkei,Pemerintahan Selatan
113,99,1383 hingga 1392,Hironari,Kaisar Go-Kameyama,Pemerintahan Selatan
114,100,1392 hingga 1412,Motohito,Kaisar Go-Komatsu,
115,101,1412 hingga 1428,Mihito,Kaisar Shōkō,
116,102,1428 hingga 1464,Hikohito,Kaisar Go-Hanazono,
117,103,1464 hingga 1500,Fusahito,Kaisar Go-Tsuchimikado,
118,104,1500 hingga 1526,Katsuhito,Kaisar Go-Kashiwabara,
119,105,1526 hingga 1557,Tomohito,Kaisar Go-Nara,
120,106,1557 hingga 1586,Michihito,Kaisar Ōgimachi,
121,107,1586 hingga 1611,Kazuhito/Katahito,Kaisar Go-Yōzei,
122,Periode Edo (1603-1867),Periode Edo (1603-1867),Periode Edo (1603-1867),Periode Edo (1603-1867),Periode Edo (1603-1867)
123,108,1611 hingga 1629,Kotohito,Kaisar Go-Mizunoo(a.k.a. Kaisar Go-Minoo),
124,109,1629 hingga 1643,Okiko,Maharani Meishō,
125,110,1643 hingga 1654,Tsuguhito,Kaisar Go-Kōmyō,
126,111,1655 hingga 1663,Nagahito,Kaisar Go-Sai,
127,112,1663 hingga 1687,Satohito,Kaisar Reigen,
128,113,1687 hingga 1709,Asahito,Kaisar Higashiyama,
129,114,1709 hingga 1735,Yasuhito,Kaisar Nakamikado,
130,115,1735 hingga 1747,Teruhito,Kaisar Sakuramachi,
131,116,1747 hingga 1762,Toohito,Kaisar Momozono,
132,117,1762 hingga 1771,Toshiko,Maharani Go-Sakuramachi,
133,118,1771 hingga 1779,Hidehito,Kaisar Go-Momozono,
134,119,1780 hingga 1817,Tomohito,Kaisar Kōkaku,
135,120,1817 hingga 1846,Ayahito,Kaisar Ninkō,
136,121,1846 hingga 1867,Osahito,Kaisar Kōmei,
137,Jepang Modern (1868-sekarang),Jepang Modern (1868-sekarang),Jepang Modern (1868-sekarang),Jepang Modern (1868-sekarang),Jepang Modern (1868-sekarang)
138,122,1867 hingga 1912,Mutsuhito,Kaisar Meiji,Kaisar pertama pada zaman monarki konstitusional
139,123,1912 hingga 1926,Yoshihito,Kaisar Taishō,
140,124,1926 hingga 1989,Hirohito,Kaisar Shōwa,Kaisar terakhir yang memegang jabatan politik
141,125,1989 hingga 2019,Akihito,Kaisar Heisei,Turun takhta pada 30 April 2019
142,126,Sejak 2019,Naruhito,Kaisar Reiwa,
