,N o,G a m b a r,N a m a,M u l a i   J a b a t a n,A k h i r   J a b a t a n
0,1,,Ito Hirobumi,22 Desember 1885,30 April 1888
1,2,,Kuroda Kiyotaka,30 April 1888,25 Oktober 1889
2,3,,Yamagata Aritomo,24 Desember 1889,6 Mei 1891
3,4,,Matsukata Masayoshi,6 Mei 1891,8 Agustus 1892
4,(1),,Ito Hirobumi,8 Agustus 1892,3 Agustus 1896
5,(4),,Matsukata Masayoshi,3 Agustus 1896,12 Januari 1898
6,(1),,Ito Hirobumi,12 Januari 1898,30 Juni 1898
7,5,,Ōkuma Shigenobu,30 Juni 1898,8 Agustus 1898
8,(3),,Yamagata Aritomo,8 Agustus 1898,19 Oktober 1900
9,(1),,Ito Hirobumi,19 Oktober 1900,10 Mei 1901
10,6,,Katsura Taro,2 Juni 1901,7 Januari 1906
11,7,,Saionji Kinmochi,7 Januari 1906,14 Juli 1908
12,(6),,Katsura Taro,14 Juli 1908,30 Agustus 1911
13,(7),,Saionji Kinmochi,30 Agustus 1911,21 Desember 1912
14,Perdana Menteri selama periode Taisho (1912-1926),Perdana Menteri selama periode Taisho (1912-1926),Perdana Menteri selama periode Taisho (1912-1926),Perdana Menteri selama periode Taisho (1912-1926),Perdana Menteri selama periode Taisho (1912-1926)
15,(6),,Katsura Taro,21 Desember 1912,20 Februari 1913
16,8,,Yamamoto Gonnohyoe,20 Februari 1913,16 April 1914
17,(5),,Ōkuma Shigenobu,16 April 1914,9 Oktober 1916
18,9,,Terauchi Masatake,9 Oktober 1916,29 September 1918
19,10,,Hara Takashi,29 September 1918,4 November 1921
20,11,,Takahashi Korekiyo,4 November 1921,12 Juni 1922
21,12,,Kato Tomosaburo,12 Juni 1922,24 Agustus 1923
22,(8),,Yamamoto Gonnohyoe,2 September 1923,7 Januari 1924
23,13,,Kiyoura Keigo,7 Januari 1924,11 Juni 1924
24,14,,Kato Takaaki,11 Juni 1924,28 Januari 1926
25,15,,Wakatsuki Reijiro,30 Januari 1926,20 April 1927
26,Perdana Menteri selama periode Showa (1926-1989),Perdana Menteri selama periode Showa (1926-1989),Perdana Menteri selama periode Showa (1926-1989),Perdana Menteri selama periode Showa (1926-1989),Perdana Menteri selama periode Showa (1926-1989)
27,16,,Tanaka Giichi,20 April 1927,2 Juli 1929
28,17,,Osachi Hamaguchi,2 Juli (1929,14 April 1931
29,(15),,Wakatsuki Reijiro,14 April 1931,13 Desember 1931
30,18,,Inukai Tsuyoshi,13 Desember 1931,16 Mei 1932
31,19,,Saito Makoto,16 Mei 1932,8 Juli 1934
32,20,,Keisuke Okada,8 Juli 1934,9 Maret 1936
33,21,,Koki Hirota,9 Maret 1936,2 Februari 1937
34,22,,Senjuro Hayashi,2 Februari 1937,4 Juni 1937
35,23,,Konoe Fumimaro,4 Juni 1937,5 Januari 1939
36,24,,Hiranuma Kiichiro,5 Januari 1939,30 Agustus 1939
37,25,,Nobuyuki Abe,30 Agustus 1939,16 Januari 1940
38,26,,Mitsumasa Yonai,16 Januari 1940,22 Juli 1940
