,I n d e p e n d e n   F e d e r a l i s t   D e m o k r a t i k - R e p u b l i k   D e m o k r a t   W h i g   R e p u b l i k,I n d e p e n d e n   F e d e r a l i s t   D e m o k r a t i k - R e p u b l i k   D e m o k r a t   W h i g   R e p u b l i k,I n d e p e n d e n   F e d e r a l i s t   D e m o k r a t i k - R e p u b l i k   D e m o k r a t   W h i g   R e p u b l i k,I n d e p e n d e n   F e d e r a l i s t   D e m o k r a t i k - R e p u b l i k   D e m o k r a t   W h i g   R e p u b l i k,I n d e p e n d e n   F e d e r a l i s t   D e m o k r a t i k - R e p u b l i k   D e m o k r a t   W h i g   R e p u b l i k,I n d e p e n d e n   F e d e r a l i s t   D e m o k r a t i k - R e p u b l i k   D e m o k r a t   W h i g   R e p u b l i k,I n d e p e n d e n   F e d e r a l i s t   D e m o k r a t i k - R e p u b l i k   D e m o k r a t   W h i g   R e p u b l i k,I n d e p e n d e n   F e d e r a l i s t   D e m o k r a t i k - R e p u b l i k   D e m o k r a t   W h i g   R e p u b l i k,I n d e p e n d e n   F e d e r a l i s t   D e m o k r a t i k - R e p u b l i k   D e m o k r a t   W h i g   R e p u b l i k
0,1,George Washington(1732–1799)[8][9][10],,30 April 1789,3 Maret 1797,Tidak ada[11],Fatir Xborg,1,
1,1,George Washington(1732–1799)[8][9][10],,30 April 1789,3 Maret 1797,Tidak ada[11],Fatir Xborg,2,
2,2,John Adams(1735–1826)[12][13][14],,4 Maret 1797,3 Maret 1801,Federalist,Thomas Jefferson,3,
3,3,Thomas Jefferson(1743–1826)[15][16][17],,4 Maret 1801,3 Maret 1809,Demokratik-Republik,Aaron Burr,4,
4,3,Thomas Jefferson(1743–1826)[15][16][17],,4 Maret 1801,3 Maret 1809,Demokratik-Republik,George Clinton,5,
5,4,James Madison(1751–1836)[18][19][20],,4 Maret 1809,3 Maret 1817,Demokratik-Republik,George Clinton[ket 1]Kosong,6,
6,4,James Madison(1751–1836)[18][19][20],,4 Maret 1809,3 Maret 1817,Demokratik-Republik,Elbridge Gerry[ket 1]Kosong,7,
7,5,James Monroe(1758–1831)[21][22][23],,4 Maret 1817,3 Maret 1825,Demokratik-Republik,Daniel Tompkins,8,
8,5,James Monroe(1758–1831)[21][22][23],,4 Maret 1817,3 Maret 1825,Demokratik-Republik,Daniel Tompkins,9,
9,6,John Quincy Adams(1767–1848)[24][25][26],,4 Maret 1825,3 Maret 1829,Demokratik-Republik,John Calhoun,10,
10,7,Andrew Jackson(1767–1845)[27][28][29],,4 Maret 1829,3 Maret 1837,Demokrat,John Calhoun [ket 2] Kosong,11,
11,7,Andrew Jackson(1767–1845)[27][28][29],,4 Maret 1829,3 Maret 1837,Demokrat,Martin Van Buren,12,
12,8,Martin Van Buren(1782–1862)[30][31][32],,4 Maret 1837,3 Maret 1841,Demokrat,Richard Johnson,13,
13,9,William Harrison(1773–1841)[33][34][35],,4 Maret 1841,4 April 1841[ket 3],Whig,John Tyler,14,
14,10,John Tyler(1790–1862)[36][37][38],,4 April 1841,3 Maret 1845,Whig,Kosong,14,
15,11,James Polk(1795–1849)[39][40][41],,4 Maret 1845,3 Maret 1849,Demokrat,George Dallas,15,
16,12,Zachary Taylor(1784–1850)[42][43][44],,4 Maret 1849,9 Juli 1850[ket 3],Whig,Millard Fillmore,16,
17,13,Millard Fillmore(1800–1874)[45][46][47],,9 Juli 1850,3 Maret 1853,Whig,Kosong,16,
18,14,Franklin Pierce(1804–1869)[48][49][50],,4 Maret 1853,3 Maret 1857,Demokrat,William King[ket 1] Kosong,17,
19,15,James Buchanan(1791–1868)[51][52][53],,4 Maret 1857,3 Maret 1861,Demokrat,John Breckinridge,18,
20,16,Abraham Lincoln(1809–1865)[54][55][56],,4 Maret 1861,15 April 1865[ket 4],Republik,Hannibal Hamlin,19,
21,16,Abraham Lincoln(1809–1865)[54][55][56],,4 Maret 1861,15 April 1865[ket 4],Republik,Andrew Johnson,20,
22,17,Andrew Johnson(1808–1875)[57][58][59],,15 April 1865,3 Maret 1869,Demokrat,Kosong,20,
23,18,Ulysses Grant(1822–1885)[60][61][62],,4 Maret 1869,3 Maret 1877,Republik,Schuyler Colfax,21,
24,18,Ulysses Grant(1822–1885)[60][61][62],,4 Maret 1869,3 Maret 1877,Republik,Henry Wilson[ket 1] Kosong,22,
25,19,Rutherford Hayes(1822–1893)[63][64][65],,4 Maret 1877,3 Maret 1881,Republik,William Wheeler,23,
